,R a n g k i n g,N e g a r a,N i l a i   ( d a r i   1 0 )
0,1,Australia,9.0
1,2,Swiss,8.13
2,3,Norwegia,8.09
3,4,Singapura,8.02
4,5,Selandia Baru,8.01
5,6,Swedia,7.99
6,7,Denmark,7.95
7,8,Belanda,7.94
8,9,Kanada,7.81
9,10,Irlandia,7.8
10,11,Finlandia,7.76
11,12,Hong Kong,7.74
12,13,Austria,7.73
13,14,Jerman,7.69
14,15,Belgia,7.51
15,16,Taiwan,7.38
16,17,Amerika Serikat,7.38
17,18,Uni Emirat Arab,7.33
18,19,Korea Selatan,7.25
19,20,Israel,7.23
20,21,Italia,7.21
21,22,Kuwait,7.18
22,23,Chili,7.1
23,23,Siprus,7.1
24,25,Jepang,7.08
25,26,Prancis,7.04
26,27,Britania Raya,7.01
27,28,Ceko,6.96
28,28,Spanyol,6.96
29,30,Kosta Rika,6.92
30,30,Portugal,6.92
31,32,Slovenia,6.77
32,33,Polandia,6.66
33,34,Yunani,6.63
34,35,Slowakia,6.64
35,36,Kolombia,6.62
36,37,Argentina,6.52
37,38,Arab Saudi,6.49
38,39,Brasil,6.41
39,40,Kuba,6.39
40,40,Meksiko,6.39
41,42,Malaysia,6.27
42,43,Peru,6.24
43,44,Estonia,6.07
44,44,Venezuela,6.07
45,46,Kroasia,6.06
46,46,Hongaria,6.06
47,48,Turki,6.02
48,49,Tiongkok,5.99
49,50,Thailand,5.96
50,51,Latvia,5.95
51,52,Republik Dominika,5.93
52,53,Afrika Selatan,5.91
53,54,Aljazair,5.86
54,54,Serbia,5.86
55,56,Rumania,5.85
56,57,Lituania,5.83
57,58,Filipina,5.82
58,59,Iran,5.8
59,60,Tunisia,5.77
60,60,Rusia,5.77
61,62,Bulgaria,5.73
62,63,El Salvador,5.72
63,64,Belarus,5.71
64,64,Mesir,5.71
65,66,Ekuador,5.7
66,67,Nikaragua,5.69
67,68,Maroko,5.67
68,69,Vietnam,5.64
69,70,Yordania,5.63
70,71,Azerbaijan,5.6
71,72,Kazakhstan,5.54
72,73,India,5.31
73,74,Tanzania,5.29
74,75,Indonesia,5.2
75,76,Pakistan,5.19
76,77,Angola,5.09
77,78,Bangladesh,5.07
78,79,Ukraina,4.96
79,80,Kenya,4.91
