,T i p e   p r o d u k,C o n t o h
0,Industri anorganik,"amonia, klorin, natrium hidroksida, asam sulfat, asam nitrat"
1,Industri organik,"akrilonitril, fenol, etilena oksida, urea"
2,produk keramik,"silika, frit"
3,petrokimia,"etilena, propilena, benzena, stirena"
4,agrokimia,"pupuk, insektisida, herbisida"
5,polimer,"polietilena, Bakelit, poliester"
6,elastomer,"poliisoprena, neoprena, poliuretan"
7,oleokimia,"lemak babi, minyak kedelai, asam stearat"
8,peledak,"nitrogliserin, amonium nitrat, nitroselulosa"
9,aroma buatan,"benzil benzoat, coumarin, vanilin"
10,gas industri,"nitrogen, oksigen, asetilena, dinitrogen oksida"
