,U r u t a n,P e n y e b a b   k e m a t i a n,K e m a t i a n   p a d a   2 0 0 2   ( d a l a m   j u t a ),P e r s e n t a s e   d a r i   s e l u r u h   k e m a t i a n,K e m a t i a n   p a d a   1 9 9 3   ( d a l a m   j u t a ),U r u t a n   p a d a   1 9 9 3
0,,Semua penyakit infeksi,14.7,25.9%,16.4,32.2%
1,1,Infeksi saluran pernapasan bawah[44],39,"6,9%",41,1
2,2,HIV/AIDS,28,"4,9%",07,7
3,3,Gastroenteritis[45],1.8,3.2%,3.0,2
4,4,Tuberkulosis (TB),16,"2,7%",27,3
5,5,Malaria,13,"2,2%",20,4
6,6,Campak,06,"1,1%",11,5
7,7,Batuk rejan,029,"0,5%",036,7
8,8,Tetanus,021,"0,4%",015,12
9,9,Meningitis,017,"0,3%",025,8
10,10,Sifilis,016,"0,3%",019,11
11,11,Hepatitis B,0.10,"0,2%",093,6
12,12-17,Penyakit tropis (6)[46],0.13,0.2%,0.53,"9, 10, 16–18"
13,"Catatan: Penyebab kematian lainnya termasuk kondisi ibu dan perinatal (5,2%), kekurangan nutrisi (0,9%), kondisi tidak menular (58,8%), dan cedera (9,1%).","Catatan: Penyebab kematian lainnya termasuk kondisi ibu dan perinatal (5,2%), kekurangan nutrisi (0,9%), kondisi tidak menular (58,8%), dan cedera (9,1%).","Catatan: Penyebab kematian lainnya termasuk kondisi ibu dan perinatal (5,2%), kekurangan nutrisi (0,9%), kondisi tidak menular (58,8%), dan cedera (9,1%).","Catatan: Penyebab kematian lainnya termasuk kondisi ibu dan perinatal (5,2%), kekurangan nutrisi (0,9%), kondisi tidak menular (58,8%), dan cedera (9,1%).","Catatan: Penyebab kematian lainnya termasuk kondisi ibu dan perinatal (5,2%), kekurangan nutrisi (0,9%), kondisi tidak menular (58,8%), dan cedera (9,1%).","Catatan: Penyebab kematian lainnya termasuk kondisi ibu dan perinatal (5,2%), kekurangan nutrisi (0,9%), kondisi tidak menular (58,8%), dan cedera (9,1%)."
