,T a h u n,J u d u l,P e r a n,K e t e r a n g a n
0,2002,Ca-bau-kan,Tan Soen Bie,
1,2008,Liar,Indra,
2,2013,Coboy Junior the Movie,Herry Dharmawan,
3,2015,Nada untuk Asa,Bobby,
4,2015,CJR the Movie: Lawan Rasa Takutmu,Herry Dharmawan,
5,2019,Dua Garis Biru,Om Adi,
6,2019,Bebas,Ayah Vina,
7,2020,Mariposa,Henry Kusuma,
8,2020,Pelukis Hantu,Andri,Film orisinal Disney+ Hotstar
9,2020,Denting Kematian,Leo,Film orisinal Disney+ Hotstar
10,2021,Eyang Ti,Adi,Film orisinal KlikFilm
11,2023,Gita Cinta dari SMA,Kepala sekolah,
12,2023,Virgo and The Sparklings,Ayah Riani,
13,2023,Berbalas Kejam,Kian,Film orisinal Prime Video
14,TBA,Tamu Tak Diundang,,
