,R e g i o n [ c a t a t a n   4 ],I b u   k o t a,L u a s   ( k m ² ),P o p u l a s i
0,Abruzzo,L'Aquila,10.763,1.342.177
1,Lembah Aosta,Aosta,3.263,128.129
2,Puglia,Bari,19.358,4.090.577
3,Basilicata,Potenza,9.995,587.680
4,Calabria,Catanzaro,15.08,2.011.537
5,Campania,Napoli,13.59,5.833.131
6,Emilia-Romagna,Bologna,22.446,4.429.766
7,Friuli-Venezia Giulia,Trieste,7.858,1.235.761
8,Lazio,Roma,17.236,5.724.365
9,Liguria,Genoa,5.422,1.616.993
10,Langobardi,Milan,23.844,9.909.348
11,Marche,Ancona,9.366,1.564.886
12,Molise,Campobasso,4.438,319.834
13,Piemonte,Torino,25.402,4.456.532
14,Sardinia,Cagliari,24.09,1.675.286
15,Sisilia,Palermo,25.711,5.050.486
16,Toskana,Firenze,22.993,3.749.074
17,Trentino-Alto Adige,Trento,13.607,1.036.639
18,Umbria,Perugia,8.456,906.675
19,Veneto,Venesia,18.399,4.936.197
