,T a r g e t / J e n i s,S e r i / D e s k r i p s i,J u d u l,T a n g g a l,R e f .
0,Fiksiremaja,Seri Harry Potter,1. Harry Potter dan Batu Bertuah,1997-06-26,[131][132]
1,Fiksiremaja,Seri Harry Potter,2. Harry Potter dan Kamar Rahasia,1998-07-02,[131][439]
2,Fiksiremaja,Seri Harry Potter,3. Harry Potter dan Tawanan Azkaban,1999-07-08,[131][440]
3,Fiksiremaja,Seri Harry Potter,4. Harry Potter dan Piala Api,2000-07-08,[131][441]
4,Fiksiremaja,Seri Harry Potter,5. Harry Potter dan Orde Phoenix,2003-06-21,[131][442]
5,Fiksiremaja,Seri Harry Potter,6. Harry Potter dan Pangeran Berdarah-Campuran,2005-07-16,[131][443]
6,Fiksiremaja,Seri Harry Potter,7. Harry Potter dan Relikui Kematian,2007-07-21,[444][445]
7,Fiksiremaja,Buku terkaitHarry Potter,Hewan-hewan Fantastis dan Di Mana Mereka Bisa Ditemukan (sempalan seri Harry Potter),2001-03-12,[446]
8,Fiksiremaja,Buku terkaitHarry Potter,Quidditch dari Masa ke Masa (sempalan seri Harry Potter),2001-03-12,[447]
9,Fiksiremaja,Buku terkaitHarry Potter,Prekuel Harry Potter (cerita pendek yang diterbitkan di What's Your Story Postcard Collection),2008-07-01,[370][448]
10,Fiksiremaja,Buku terkaitHarry Potter,Kisah-Kisah Beedle Si Juru Cerita (sempalan seri Harry Potter),2008-12-04,[449]
11,Fiksiremaja,Buku terkaitHarry Potter,Harry Potter and the Cursed Child (konsep cerita drama),2016-07-30premier,[450][451]
12,Fiksiremaja,Buku terkaitHarry Potter,"Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists",2016-09-06,[452]
13,Fiksiremaja,Buku terkaitHarry Potter,"Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies",2016-09-06,[453]
14,Fiksiremaja,Buku terkaitHarry Potter,Hogwarts: An Incomplete and Unreliable Guide,2016-09-06,[454]
15,Fiksiremaja,Skenario asli terkaitHarry Potter,Fantastic Beasts and Where to Find Them,2016-11-18,[455]
16,Fiksiremaja,Skenario asli terkaitHarry Potter,Fantastic Beasts: The Crimes of Grindelwald,2018-11-16premier,[456]
17,Fiksiremaja,Skenario asli terkaitHarry Potter,Fantastic Beasts: The Secrets of Dumbledore,2022-04-15rencanapremier,[161]
18,Fiksidewasa,,Perebutan Kursi Kosong,2012-09-27,[457]
19,Fiksidewasa,Seri Cormoran Strike (sebagai Robert Galbraith),1. Dekut Burung Kukuk,2013-04-18,[458]
20,Fiksidewasa,Seri Cormoran Strike (sebagai Robert Galbraith),2. Ulat Sutra,2014-06-19,[192]
21,Fiksidewasa,Seri Cormoran Strike (sebagai Robert Galbraith),3. Titian Kejahatan,2015-10-20,[193]
22,Fiksidewasa,Seri Cormoran Strike (sebagai Robert Galbraith),4. Kuda Putih,2018-09-18,[194]
23,Fiksidewasa,Seri Cormoran Strike (sebagai Robert Galbraith),5. Kecamuk Darah,2020-09-15,[459]
24,Fiksianak,,The Ickabog,2020-11-10,[209]
25,Fiksianak,,Petualangan Jack & Piggy Natal,2021-10-12,[212]
26,Non-fiksi,Buku,"Very Good Lives: The Fringe Benefits of Failure and Importance of Imagination, iilustrasi oleh Joel Holland, Sphere.",2015-04-14,[460]
27,Non-fiksi,Buku,"A Love Letter to Europe : an Outpouring of Love and Sadness from our Writers, Thinkers and Artists, Coronet (kontributor).",2019-10-31,[461]
28,Non-fiksi,Artikel,"""The first it girl: J. K. Rowling reviews Decca: the Letters by Jessica Mitford"". Sussman, Peter Y., editor. The Daily Telegraph.",2006-11-26,[71][462]
29,Non-fiksi,Artikel,"""The fringe benefits of failure, and the importance of imagination"". Harvard Magazine.",2008-06-05,[433]
30,Non-fiksi,Artikel,"""Gordon Brown – the 2009 Time 100"". Majalah Time.",2009-04-30,[463]
31,Non-fiksi,Artikel,"""The single mother's manifesto"". The Times.",2010-04-14,[464]
32,Non-fiksi,Artikel,"""I feel duped and angry at David Cameron's reaction to Leveson"". The Guardian.",2012-11-30,[384]
33,Non-fiksi,Artikel,"""Isn't it time we left orphanages to fairytales?"" The Guardian.",2014-12-17,[465]
34,Buku,Pengantar/Prakata,"Reynolds, Kim; Cooling, Wendy, project consultants. Families Just Like Us: The One Parent Families Good Book Guide. National Council for One Parent Families; Book Trust.",2000,[466][467]
35,Buku,Pengantar/Prakata,"McNeil, Gil; Brown, Sarah, editor. Magic. Bloomsbury.",2002-06-03,[468]
36,Buku,Pengantar/Prakata,"Brown, Gordon. ""Ending child poverty"" in Moving Britain Forward. Selected Speeches 1997–2006. Bloomsbury.",2006-09-25,[71][469]
37,Buku,Pengantar/Prakata,"Anelli, Melissa. Harry, A History. Pocket Books.",2008-11-04,[470]
