,P e m b a g i a n   A d m i n i s t r a t i f,W i l a y a h   ( k m ² ),P o p u l a s i   ( 2 0 0 7   U n t u k   J a w a   B a r a t ),P e n d u d u k   ( / k m ² )
0,Daerah Khusus Ibukota Jakarta,6645,9765600.0,13100.0
1,"Kota Bogor, Jawa Barat",11850,900034.0,40168.0
2,"Kota Depok, Jawa Barat",2003,1689772.0,7053.0
3,"Kota Bekasi, Jawa Barat",2105,2340831.0,9904.6
4,"Kota Tangerang, Banten",1645,1753249.0,9342.0
5,"Kota Tangerang Selatan, Banten",2102,1455037.0,4600.0
6,"Kabupaten Bogor, Jawa Barat","3.440,74",4816236.0,1254.4
7,"Kabupaten Tangerang, Banten","1.110,6",2746205.0,3094.0
8,"Kabupaten Bekasi, Jawa Barat","1.484,75",2242999.0,1368.9
9,"Kabupaten Cianjur, Jawa Barat","3.432,96",2149121.0,62603.0
10,Wilayah Metropolitan Jabodetabek,"11.037,56",,
