,N e g a r a   b a g i a n,I b u   k o t a,L u a s   ( k m ² ),P o p u l a s i
0,Baden-Württemberg,Stuttgart,35752.0,10.753.880
1,Bayern,München,70.549,12.538.696
2,Berlin,Berlin,892.0,3.460.725
3,Brandenburg,Potsdam,29.477,2.503.273
4,Bremen,Bremen,404.0,660.999
5,Hamburg,Hamburg,755.0,1.786.448
6,Hessen,Wiesbaden,21.115,6.067.021
7,Mecklenburg-Vorpommern,Schwerin,23.174,1.642.327
8,Niedersachsen,Hannover,47.618,7.918.293
9,Nordrhein-Westfalen,Düsseldorf,34.043,17.845.154
10,Rheinland-Pfalz,Mainz,19.847,4.003.745
11,Saarland,Saarbrücken,2.569,1.017.567
12,Sachsen,Dresden,18.416,4.149.477
13,Sachsen-Anhalt,Magdeburg,20.445,2.335.006
14,Schleswig-Holstein,Kiel,15.763,2.834.259
15,Thüringen,Erfurt,16.172,2.235.025
