,D e w a n   P e r w a k i l a n   R a k y a t   A m e r i k a   S e r i k a t,D e w a n   P e r w a k i l a n   R a k y a t   A m e r i k a   S e r i k a t . 1,D e w a n   P e r w a k i l a n   R a k y a t   A m e r i k a   S e r i k a t . 2
0,Didahului oleh:James Michael Curley,Anggota Dewan Perwakilan Rakyat dari distrik kongres ke-11 Massachusetts1947–1953,Diteruskan oleh:Tip O'Neill
1,Jabatan partai politik,Jabatan partai politik,Jabatan partai politik
2,Didahului oleh:David I. Walsh,"Calon Senator Demokrat dari Massachusetts (Kelas 1)1952, 1958",Diteruskan oleh:Ted Kennedy
3,Didahului oleh:Adlai Stevenson II,Calon presiden dari Partai Demokrat1960,Diteruskan oleh:Lyndon Johnson
4,Senat Amerika Serikat,Senat Amerika Serikat,Senat Amerika Serikat
5,"Didahului oleh:Henry Cabot Lodge, Jr.",Senator Amerika Serikat (Kelas 1) dari Massachusetts1953–1960 Menjabat bersama dengan: Leverett Saltonstall,Diteruskan oleh:Benjamin A. Smith II
6,Jabatan politik,Jabatan politik,Jabatan politik
7,Didahului oleh:Dwight David Eisenhower,Presiden Amerika Serikat1961–1963,Diteruskan oleh:Lyndon Baines Johnson
8,Gelar kehormatan,Gelar kehormatan,Gelar kehormatan
9,Didahului oleh:Unknown Soldiers of World War II and the Korean War,Tokoh yang jasadnya diperlihatkan di rotunda United States Capitol1963,Diteruskan oleh:Douglas MacArthur
