,T a h u n,J u d u l,P e r a n,K e t e r a n g a n
0,2007,Hairspray,Edna Turnblad,(pra-produksi)
1,2007,Wild Hogs,woody,(pra-produksi)
2,2007,Dallas,J.R. Ewing,(pra-produksi)
3,2006,2004: A Light Knight's Odyssey,Dave,(hanya suara; sedang difilmkan)
4,2006,Lonely Hearts,Elmer C. Robinson,
5,2005,Magnificent Desolation: Walking on the Moon 3D,Himself,(narrator; dokumenter)
6,2005,Be Cool,Chili Palmer,
7,2004,Ladder 49,Captain Mike Kennedy,
8,2004,A Love Song for Bobby Long,Bobby Long,
9,2004,The Punisher,Howard Saint,
10,2003,Basic,Hardy,
11,2002,Austin Powers in Goldmember,Goldmember,(kameo)
12,2001,Domestic Disturbance,Frank Morrison,
13,2001,Swordfish,Gabriel Shear,
14,2000,Welcome to Hollywood,dirinya sendiri,(dokumenter)
15,2000,Lucky Numbers,Russ Richards,
16,2000,Battlefield Earth,Terl,
17,1999,The General's Daughter,Warr. Off. Paul Brenner/Sgt. Frank White,
18,1998,A Civil Action,Jan Schlichtmann,
19,1998,The Thin Red Line,Brigadier General Quintard,
20,1998,Junket Whore,dirinya sendiri,(dokumenter)
21,1998,Primary Colors,Governor Jack Stanton,
22,1997,Off the Menu: The Last Days of Chasen's,dirinya sendiri,(dokumenter)
23,1997,Mad City,Sam Baily,
24,1997,Face/Off,Sean Archer/Castor Troy,
25,1997,She's So Lovely,Joey,
26,1996,Michael,Michael,
27,1996,Phenomenon,George Malley,
28,1996,Orientation: A Scientology Information Film,dirinya sendiri,(short subject)
29,1996,Broken Arrow,Maj. Vic 'Deak' Deakins,
30,1995,Get Shorty,Chili Palmer,
31,1995,White Man's Burden,Louis Pinnock,
32,1994,Pulp Fiction,Vincent Vega,
33,1993,Look Who's Talking Now,James Ubriacco,
34,1992,Boris and Natasha,Himself,(cameo)
35,1991,Shout,Jack Cabe,
36,1991,Eyes of an Angel,Bobby,
37,1990,Look Who's Talking Too,James Ubriacco,
38,1989,Look Who's Talking,James Ubriacco,
39,1989,The Experts,Travis,
40,1985,Perfect,Adam Lawrence,
41,1983,Staying Alive,Tony Manero,
42,1983,Two of a Kind,Zack,
43,1981,Blow Out,Jack Terry,
44,1980,Urban Cowboy,Buford 'Bud' Uan Davis,
45,1978,Moment by Moment,Strip Harrison,
46,1978,Grease,Danny Zuko,
47,1977,Saturday Night Fever,Tony Manero,
48,1976,The Boy in the Plastic Bubble,Tod Lubitch,
49,1976,Carrie,Billy Nolan,
50,1975,The Devil's Rain,Danny,
