,0,1,2,3,4
0,Kabinet Sunak,Kabinet Sunak,Kabinet Sunak,Kabinet Sunak,Kabinet Sunak
1,Pejabat Petahana,Pejabat Petahana,Jabatan,Departemen,Mulai Menjabat
2,Menteri-Menteri Kabinet,Menteri-Menteri Kabinet,Menteri-Menteri Kabinet,Menteri-Menteri Kabinet,Menteri-Menteri Kabinet
3,,The Right HonourableRishi SunakAnggota Parlemen untuk Richmond (Yorks)(lahir 1980),Perdana MenteriFirst Lord of the TreasuryMenteri PersatuanMenteri Urusan Pelayanan Sipil,Kantor Kabinet,15 Oktober 2022; 5 bulan lalu
4,,The Right HonourableDominic RaabAnggota Parlemen untuk Esher dan Walton(lahir 1974),Wakil Perdana MenteriMenteri KehakimanLord Chancellor,Kementerian Kehakiman,25 Oktober 2022; 5 bulan lalu
5,,The Right HonourableJeremy HuntAnggota Parlemen untuk South West Surrey(lahir 1966),Menteri KeuanganSecond Lord of the Treasury,Perbendaharaan Yang Mulia,14 Oktober 2022; 5 bulan lalu
6,,The Right HonourableJames CleverlyAnggota Parlemen untuk Braintree(lahir 1969),"Menteri Luar Negeri, Persemakmuran, dan Pembangunan","Kantor Luar Negeri, Persemakmuran, dan Pembangunan",6 September 2022; 6 bulan lalu
7,,The Right HonourableSuella BravermanAnggota Parlemen untuk Fareham(lahir 1980),Menteri Dalam Negeri,Departemen Dalam Negeri,25 Oktober 2022; 5 bulan lalu
8,,The Right HonourableBen WallaceAnggota Parlemen untuk Wyre dan Preston North(lahir 1970),Menteri Pertahanan,Kementerian Pertahanan,24 Juli 2019; 3 tahun lalu
9,,The Right HonourableSteve BarclayAnggota Parlemen untuk orth East Cambridgeshire(lahir 1972),Menteri Kesehatan dan Layanan Sosial,Departemen Kesehatan dan Layanan Sosial,25 Oktober 2022; 5 bulan lalu
10,,The Right HonourableOliver DowdenAnggota Parlemen untuk Hertsmere(lahir 1978),Kanselir Kadipaten Lancaster,Kantor Kabinet,25 Oktober 2022; 5 bulan lalu
11,,The Right HonourablePenny MordauntAnggota Parlemen untuk Portsmouth North(lahir 1973),Pemimpin Dewan RakyatKetua Dewan Penasihat,Kantor Pemimpin Dewan Rakyat[n 1],6 September 2022; 6 bulan lalu
12,,"The Right HonourableNicholas True, Lord TrueCBE(lahir 1951)",Pemimpin Dewan BangsawanTuan Penjaga Segel Rahasia,Kantor Pemimpin Dewan Bangsawan[n 2],6 September 2022; 6 bulan lalu
13,,The Right HonourableNadhim ZahawiAnggota Parlemen untuk Stratford-on-Avon(lahir 1967),Ketua Partai KonservatifMenteri Tanpa Portofolio,Kantor Kabinet,25 Oktober 2022; 5 bulan lalu
14,,The Right HonourableGrant ShappsAnggota Parlemen untuk North East Somerset(lahir 1968),"Menteri Bisnis, Energi, dan Strategi Industri","Departemen Bisnis, Energi dan Strategi Industri",25 Oktober 2022; 5 bulan lalu
15,,The Right HonourableMichael GoveAnggota Parlemen untuk Surrey Heath(lahir 1967),"Menteri Peningkatan, Perumahan dan KomunitasMenteri Hubungan Antar Pemerintah","Departemen Peningkatan, Perumahan dan Komunitas",25 Oktober 2022; 5 bulan lalu
16,,The Right HonourableKemi BadenochAnggota Parlemen untuk Saffron Walden(lahir 1980),Menteri Perdagangan InternasionalPresiden Badan DagangMenteri Wanita dan Kesetaraan Gender,Departemen Perdagangan InternasionalPendanaan Ekspor Britania Raya,6 September 2022; 6 bulan lalu
