,N a m a   J a b a t a n,P e m e g a n g   J a b a t a n
0,Perdana Menteri,Fumio Kishida
1,Menteri Dalam Negeri dan KomunikasiMenteri Negara untuk Reformasi Desentralisasi,Yasushi Kaneko
2,Menteri Kehakiman,Yoshihisa Furukawa
3,Menteri Luar Negeri,Toshimitsu Motegi
4,Menteri Keuangan,Shun'ichi Suzuki
5,"Menteri Pendidikan, Budaya, Olahraga, Ilmu Pengetahuan dan Teknologi",Shunsuke Suematsu
6,"Menteri Kesehatan, Perburuhan dan Kesejahteraan",Shigeyuki Goto
7,"Menteri Pertanian, Kehutanan dan Perikanan",Genjiro Kaneko
8,"Menteri Ekonomi, Perdagangan dan Industri",Koichi Hagiuda
9,"Menteri Pertanahan, Infrastruktur, Transportasi dan Pariwisata Menteri Kebijakan Kelautan",Tetsuo Saito
10,Menteri Lingkungan Hidup,Tsuyoshi Yamaguchi
11,Menteri Pertahanan,Nobuo Kishi
12,Sekretaris Kabinet,Hirokazu Matsuno
13,Ketua Komisi Nasional Keselamatan Publik Menteri Negara Urusan Okinawa dan Wilayah Utara Negeri dan Manajemen Bencana Menteri Negara untuk Masalah Penculikan,
14,"Menteri Negara untuk Reformasi Regulasi, Pendayagunaan Aparatur Negara dan Reformasi Pegawai Negeri Sipil",Koshaburo Nishima
15,Menteri Negara untuk Ilmu Pengetahuan dan Kebijakan Teknologi dan Keamanan Pangan Menteri Permasalahan Konsumen Menteri Negara untuk Sosial dan Kesetaraan Gender,Seiko Noda
16,"Menteri Negara untuk Strategi Nasional Menteri Negara untuk Kebijakan Ekonomi dan Fiskal, dan Kebijakan Ilmu Pengetahuan dan Teknologi Menteri Negara untuk Inovasi Administrasi Menteri Negara untuk Reformasi Keamanan Sipil",Daishiro Yamagiwa
17,Menteri Negara untuk Revitalisasi Pemerintah,
18,Menteri Negara untuk Rekonstruksi Gempa,Kosaburo Nishima
