,N o,J a b a t a n,N a m a   M e n t e r i,M e n j a b a t   p a d a
0,1,Perdana Menteri,Ibrahim Mehlab,2014
1,2,"Menteri Pertahanan dan Produksi Militer, Wakil Perdana Menteri",Jenderal Shidqi Subhi,Maret 2014
2,3,Menteri Pendidikan Tinggi dan Riset,As-Sayyid Ahmad Abdul Khaliq,Februari 2014
3,4,Menteri Perencanaan dan Reformasi Birokrasi,Asyraf as-Sayyid al-'Arabi,2013
4,5,Menteri Kerjasama Internasional,Najla Anwar al-Ahwani,Juni 2014
5,6,Menteri Negara Produksi Militer,Bigadir Jenderal Ibrahim Yusuf,Februari 2014
6,7,Menteri Perminyakan dan Sumber Daya Mineral,Syarif Ismail,2013
7,8,Menteri Listrik dan Energi Terbarukan,Muhammad Hamid Syakir al-Marqabi,Februari 2014
8,9,Menteri Luar Negeri,Samih Hasan Syukri Salim,Juni 2014
9,10,Menteri Lingkungan,Dr. Khalid Muhammad Fahmi,Juni 2014
10,11,Menteri Negara Pengembangan Perkotaan dan Wilayah Kumuh,Laila Rasyid Iskandar,2013
11,12,Menteri Pendidikan,Muhammad Mahmud Abu an-Nashir,2013
12,13,Menteri Tenaga Kerja dan Transmigrasi,Nahid al-'Asyri,Februari 2014
13,14,Menteri Kehakiman,Mahfudz Shabir Abdul Qadir,Juni 2014
14,15,Menteri Transisi Keadilan dan Dewan Perwakilan Rakyat,Ibrahim Muhammad al-Hunaidi,Juni 2014
15,16,Menteri Negara Pembangunan Daerah,Adil Labib,2013
16,17,"Menteri Perumahan, Utilitas dan Masyarakat Perkotaan",Mushthafa Kamal Madbuli Muhammad Nashar,Februari 2014
17,18,Menteri Wakaf,Muhammad Mukhtar Jum'ah Mubruk,2013
18,19,Menteri Dalam Negeri,Brigadir Jenderal Muhammad Ibrahim Mushthafa,2013
19,20,Menteri Keuangan,Hani Qadri,Februari 2014
20,21,Menteri Penerbangan Sipil,Brigadir Jenderal Hisam Kamal Abu al-Khair,Februari 2014
21,22,Menteri Perhubungan,Ir. Hani Sayyid Muhammad Dhahi,2013
22,23,Menteri Kebudayaan,Dr. Jabir Ahmad 'Ushfur,2014
23,24,Menteri Kesehatan dan Kependudukan,Adil Adawi,Februari 2014
24,25,Menteri Sumber Daya Air,Dr. Hisam Muhammad Maghazi,Juni 2014
25,26,Menteri Pertanian dan Reklamasi Lahan,Adil Taufiq al-Baltaji,Juni 2014
26,27,Menteri Pariwisata,Hisyam Za'zu',2013
27,28,Menteri Perdagangan dan Perindustrian,Munir Fakhri Abdun Nur,2013
28,29,Menteri Investasi,Asyraf Abdut Tawwab Sulaiman,2013
29,30,Menteri Persediaan,Khalid Hanafi,Februari 2014
30,31,Menteri Negara Urusan Peninggalan Bersejarah,Dr. Mamduh ad-Dimyathi,Juni 2014
31,32,Menteri Pemuda dan Olahraga,Khalid Mahmud Abdul Aziz,2013
32,33,Menteri Kesetiakawanan dan Keadilan Sosial,Ghadah Wali,Februari 2014
