,1 0   b e s a r   p r o d u s e n   k a c a n g - k a c a n g a n   2 0 1 1 [ 1 1 ],1 0   b e s a r   p r o d u s e n   k a c a n g - k a c a n g a n   2 0 1 1 [ 1 1 ],1 0   b e s a r   p r o d u s e n   k a c a n g - k a c a n g a n   2 0 1 1 [ 1 1 ],1 0   b e s a r   p r o d u s e n   k a c a n g - k a c a n g a n   2 0 1 1 [ 1 1 ],1 0   b e s a r   p r o d u s e n   k a c a n g - k a c a n g a n   2 0 1 1 [ 1 1 ]
0,India,4330000,,,
1,Myanmar,3721949,A,,
2,Brasil,3435366,,,
3,Tiongkok,1572000,*,,
4,Amerika Serikat,899610,,,
5,Tanzania,675948,,,
6,Kenya,577674,,,
7,Meksiko,567779,,,
8,Uganda,447430,*,,
9,Kamerun,366463,,,
10,World,23061590,A,,
11,"No symbol = sumber resmi, F = perkiraan FAO, * = sumber tak resmi, C = hasil perhitungan, A = agregat (dapat mencakup sumber resmi, tidak resmi, serta perkiraan);","No symbol = sumber resmi, F = perkiraan FAO, * = sumber tak resmi, C = hasil perhitungan, A = agregat (dapat mencakup sumber resmi, tidak resmi, serta perkiraan);","No symbol = sumber resmi, F = perkiraan FAO, * = sumber tak resmi, C = hasil perhitungan, A = agregat (dapat mencakup sumber resmi, tidak resmi, serta perkiraan);","No symbol = sumber resmi, F = perkiraan FAO, * = sumber tak resmi, C = hasil perhitungan, A = agregat (dapat mencakup sumber resmi, tidak resmi, serta perkiraan);","No symbol = sumber resmi, F = perkiraan FAO, * = sumber tak resmi, C = hasil perhitungan, A = agregat (dapat mencakup sumber resmi, tidak resmi, serta perkiraan);"
