,"P e r i n g k a t ,   N e g a r a",A r e a   ( h a ),P r o d u k s i ( m e t r i k   t o n ),%   ( p r o d u k s i   d u n i a )
0,1 Pantai Gading,"2.499.986,20",1.448.992,316
1,2 Ghana,"1.600.203,03",835.466,182
2,3 Indonesia,"1.774.303,97",777.500,170
3,4 Nigeria,"1.200.130,80 *",367.000,80
4,5 Kamerun,"670.077,97",275.000,60
5,6 Brasil,"689.227,87",213774,56
6,7 Ekuador,"402.399,75",128.446,28
7,8 Meksiko,"116.992,44 F",82.000,18
8,9 Peru,"97.660,54",28500,16
9,10 Republik Dominika,150956.50,68.021,15
10,11 Kolombia,"107.718,37",46.739,10
11,12 Papua Nugini,"134.993,45 *",41.200,9
