,U r u t a n,"K o t a ,   P r o v i n s i",S t a t u s   k o t a p r a j a   ( b a n d a r   r a y a ),S i n g k a t a n [ 5 5 ],L u a s,P o p u l a s i   2 0 0 0 [ 5 1 ] [ 5 2 ],P o p u l a s i   2 0 1 0 [ 5 2 ] [ 5 6 ]
0,1,"Samarinda, Kalimantan Timur",1959,SMR,718 km²,523.119,726.223
1,2,"Kuching, Sarawak",1906,KCH,"431,01 km²",423.763,658.549
2,3,"Banjarmasin, Kalimantan Selatan",1937,BJM,"98,46 km²",530.908,625.395
3,4,"Kota Kinabalu, Sabah",1948,BKI,351 km²,305.382,604.078
4,5,"Balikpapan, Kalimantan Timur",1959,BPP,"503,3 km²",396.909,559.126
5,6,"Pontianak, Kalimantan Barat",1946,PTK,"107,82 km²",473.360,550.304
6,7,"Sandakan, Sabah",1948,SDK,2.266 km²,275.375,550.304
7,8,"Tawau, Sabah",1961,TWU,6.125 km²,213.903,381.736
8,9,"Miri, Sarawak",1933,MYY,4.707 km²,167.535,280.518
9,10,"Tarakan, Kalimantan Utara",1997,TAR,"250,80 km²",116.995,239.787
10,11,"Palangka Raya, Kalimantan Tengah",1957,PLK,"2.678,51 km²",160.572,220.223
11,12,"Sibu, Sarawak",1957,SBW,"2.678,51 km²",166.322,210.879
12,13,"Banjarbaru, Kalimantan Selatan",1999,BJB,"371,30 km²",123.979,199359.0
13,14,"Singkawang, Kalimantan Barat",2001,SKW,504 km²,-,186.306
14,15,"Bontang, Kalimantan Timur",1999,BON,"497,57 km²",-,140.787
15,16,"Bandar Seri Begawan, Brunei",1920[57],BSB,"100,36 km²",27.285[58],33.677
