,K a p e l,T a h u n,L o k a s i
0,Brancacci Chapel,1386,"Gereja Santa Maria del Carmine di Florence, Italia"
1,Cadet Chapel,1963,"United States Air Force Academy, Colorado Springs, Colorado, AS"
2,"""Cadet Chapel""",1911,"United States Military Academy, West Point, New York, AS"
3,Chapel of Resurrection,1959,"Valparaiso, Indiana, AS"
4,Chapel of the Snows,1989,"McMurdo Station, Ross Island, Antartika"
5,Chapelle royale de Dreux,1816,"Dreux, Eure-et-Loir, Prancis"
6,Contarelli Chapel,1585,"San Luigi dei Francesi di Roma, Italia"
7,Duke Chapel,1930,"Duke University, Durham, North Carolina, USA"
8,Eton College Chapel,1440–c.1460,"Eton College, Eton, Berkshire, Inggris"
9,Heinz Memorial Chapel,1938,"University of Pittsburgh, Pittsburgh, Pennsylvania, AS"
10,"King's College Chapel, Cambridge",1446,"Cambridge University, Cambridge, Inggris"
11,Lee Chapel,1867,"Washington and Lee University, Lexington, Virginia, USA"
12,Magi Chapel,1459–1461,"Palazzo Medici Riccardi di Florence, Italia"
13,Mariners Chapel,1961,"United States Merchant Marine Academy, Kings Point, New York, AS"
14,Naval Academy Chapel,1908,"United States Naval Academy, Annapolis, Maryland, AS"
15,Niccoline Chapel,1447–1449,"Istana Apostolik, Vatikan"
16,Palatine Chapel,786,"Aachen Cathedral, Aachen, Jerman"
17,Palatine Chapel,1132,"Palazzo dei Normanni di Palermo, Sisilia, Italia"
18,Pauline Chapel,1540,"Istana Apostolik, Vatikan"
19,Pettit Memorial Chapel,1907,"Belvidere, Illinois, AS"
20,Queen's Chapel,1623,"London, Inggris"
21,Rosslyn Chapel,1440,"Roslin, Skotlandia"
22,Rothko Chapel,1964,"Houston, Texas, AS"
23,Sainte-Chapelle,1246,"Île de la Cité, Paris, Prancis"
24,Sassetti Chapel,1470,"Santa Trinita, Florence"
25,Sistine Chapel,1473,"Istana Apostolik, Vatikan"
26,St. Aloysius Chapel,1884,"Mangalore, India"
27,St. George's Chapel,1348,"Kastel Windsor, Inggris"
28,St. Joan of Arc Chapel,Abad ke-15,"Dipindahkan ke Marquette University, Milwaukee, AS"
29,St. Paul's Chapel,1766,"New York City, AS"
30,St Salvator's Chapel,1450,"St Andrews, Skotlandia"
31,LLandaff Oratory,1925,"KwaZulu-Natal (Van Reenen), Afrika Selatan"
32,Chapelle du Saint-Marie du Rosaire,1949,"Vence, Prancis"
33,Thorncrown Chapel,1980,"Eureka Springs, Arkansas, AS"
34,Slipper Chapel,1340,"Norfolk, Inggris"
35,St. Ivan Rilski Chapel,2003,"Livingston Island, Antartika"
36,Gallus Chapel,1330–1340,"Greifensee ZH, Swiss"
37,Naval Academy Jewish Chapel,2005,"United States Naval Academy, Annapolis, Maryland, AS"
