,T i m,K e d a t a n g a n,P e r t a n d i n g a n   t e r a k h i r,T e m p a t   t i n g g a l,L o k a s i   b a b a k   g r u p,L o k a s i   p e r e m p a t   f i n a l,L o k a s i   s e m i f i n a l,L o k a s i   f i n a l
0,Kroasia,5 Juni,18 Juni,WarkaDekat Warsaw,Gdańsk dan Poznań,,,
1,Ceko,3 Juni,21 Juni,Wrocław,Wrocław,Warsaw,,
2,Denmark,4 Juni,17 Juni,Kołobrzeg,Kharkiv dan Lviv,,,
3,Inggris,6 Juni,24 Juni,Kraków,Kyiv dan Donetsk,Kyiv,,
4,Prancis,6 Juni,23 Juni,Donetsk,Kyiv dan Donetsk,Donetsk,,
5,Jerman,3 Juni,28 Juni,Gdańsk,Kharkiv dan Lviv,Gdańsk,Warsaw,
6,Yunani,3 Juni,22 Juni,JachrankaDekat Warsaw,Warsaw dan Wrocław,Gdańsk,,
7,Republik Irlandia,5 Juni,18 Juni,SopotDekat Gdańsk,Gdańsk dan Poznań,,,
8,Italia,5 Juni,1 Juli,Kraków,Gdańsk dan Poznań,Kyiv,Warsaw,Kyiv
9,Belanda,4 Juni,17 Juni,Kraków,Kharkiv,,,
10,Polandia,28 May,16 Juni,Warsaw,Warsaw dan Wrocław,,,
11,Portugal,4 Juni,27 Juni,OpalenicaDekat Poznań,Kharkiv dan Lviv,Warsaw,Donetsk,
12,Rusia,3 Juni,16 Juni,Warsaw,Warsaw dan Wrocław,,,
13,Spanyol,5 Juni,1 Juli,GniewinoDekat Gdańsk,Gdańsk,Donetsk,Donetsk,Kyiv
14,Swedia,6 Juni,19 Juni,Kyiv,Kyiv,,,
15,Ukraina,6 Juni,19 Juni,Kyiv,Kyiv dan Donetsk,,,
