,N e g a r a,K o t a,S t a d i o n,K a p a s i t a s,P a k e t,H a s i l,#
0,Azerbaijan,Baku,Stadion Olimpiade,68.700,Paket Standar,Babak grup dan perempat final,4
1,Belanda,Amsterdam,Amsterdam Arena[a],54.990 (akan ditingkatkan hingga 56.000),Paket Standar,Babak grup dan babak 16 besar,4
2,Belarus,Minsk,Stadion Dinamo,34.000 (akan ditingkatkan hingga 39.000),Paket Standar,Ditolak,0
3,Belgia,Brussel,Eurostadium (stadion nasional baru yang diajukan),50.000 (potensial 62.613),Paket Standar,Babak grup dan babak 16 besar(dibatalkan kemudian),0
4,Bulgaria,Sofia,Stadion Nasional Vasil Levski,43.000 (akan ditingkatkan hingga 50.000),Paket Standar,Ditolak,0
5,Denmark,Kopenhagen,Stadion Parken,38.065,Paket Standar,Babak grup dan babak 16 besar,4
6,Hongaria,Budapest,Puskás Aréna,56.000 (stadion baru berkapasitas 68.000 diajukan),Paket Standar,Babak grup dan babak 16 besar,4
7,Inggris,London,Stadion Wembley,90.000,Paket Final(mundur dari Paket Standar),Semifinal dan finalBabak grup dan dua babak 16 besar (ditambahkan kemudian),8
8,Israel,Yerusalem,Stadion Teddy,34.000 (akan ditingkatkan hingga 53.000),Paket Standar,Ditolak,0
9,Italia,Roma,Stadio Olimpico,70.634,Paket Standar,"Pertandingan pembuka, babak grup, dan perempat final",4
10,Jerman,München,Allianz Arena,70.000,"Paket Standar, Paket Final",Babak grup dan perempat final,4
11,Makedonia[b],Skopje,Philip II Arena[c],33.460,Paket Standar,Ditolak,0
12,Republik Irlandia,Dublin,Stadion Aviva,51.700,Paket Standar,Babak grup dan babak 16 besar(dibatalkan kemudian),0
13,Rumania,Bukares,Arena Națională,55.600,Paket Standar,Babak grup dan babak 16 besar,4
14,Rusia,Sankt-Peterburg,Stadion Krestovsky,68.134,Paket Standar,Babak grup dan babak 16 besar (grup kedua ditambahkan kemudian),7
15,Skotlandia,Glasgow,Hampden Park,51.866,Paket Standar,Babak grup dan babak 16 besar,4
16,Spanyol,Bilbao,San Mamés,53.289,Paket Standar,Babak grup dan babak 16 besar(dipindahkan kemudian ke La Cartuja di Sevilla),4
17,Swedia,"Solna, Stockholm",Friends Arena,54.329,Paket Standar,Tersingkir,0
18,Wales,Cardiff,Stadion Millennium,74.500,Paket Standar,Tersingkir,0
