,0,1,2,3,4
0,Rekapitulasi jumlah pulau di Indonesia tahun 2004,Rekapitulasi jumlah pulau di Indonesia tahun 2004,Rekapitulasi jumlah pulau di Indonesia tahun 2004,Rekapitulasi jumlah pulau di Indonesia tahun 2004,Rekapitulasi jumlah pulau di Indonesia tahun 2004
1,No.,Provinsi,Jumlah pulau,Jumlah pulau,Jumlah
2,No.,Provinsi,Bernama,Belum bernama,Jumlah
3,1.,Aceh,205,458,663
4,2.,Sumatra Utara,237,182,419
5,3.,Sumatra Barat,200,191,391
6,4.,Riau,73,66,139
7,5.,Jambi,16,3,19
8,6.,Sumatra Selatan,43,10,53
9,7.,Bengkulu,23,24,47
10,8.,Lampung,86,102,188
11,9.,Kepulauan Bangka Belitung,311,639,950
12,10.,Kepulauan Riau,1.350,1.058,2.408
13,11.,DKI Jakarta,111,107,218
14,12.,Jawa Barat,19,112,131
15,13.,Jawa Tengah,47,249,296
16,14.,DI Yogyakarta,22,1,23
17,15.,Jawa Timur,232,55,287
18,16.,Banten,48,83,131
19,17.,Bali,25,60,85
20,18.,Nusa Tenggara Barat,461,403,864
21,19.,Nusa Tenggara Timur,473,719,1.192
22,20.,Kalimantan Barat,246,93,339
23,21.,Kalimantan Tengah,27,5,32
24,22.,Kalimantan Selatan,164,156,320
25,23.,Kalimantan Timur,232,138,370
26,24.,Kalimantan Utara,,,
27,25.,Sulawesi Utara,310,358,668
28,26.,Sulawesi Tengah,139,611,750
29,27.,Sulawesi Selatan,190,105,295
30,28.,Sulawesi Tenggara,361,290,651
31,29.,Sulawesi Barat,,,
32,30.,Gorontalo,96,40,136
33,31.,Maluku,741,681,1.422
34,32.,Maluku Utara,125,1.349,1.474
35,33.,Papua,301,297,598
36,34.,Papua Barat,956,989,1.945
37,Total,Total,7.870,9.634,17.504
