,K o m p l e k s,J e n i s,P u l a u   k e c i l   /   n g a r a i
0,West Holmes Reef,Atoll,2
1,Diane Bank,Atoll (mostly sunken),Diane Bank Cay
2,Willis Group,Atoll (partially sunken),"South Islet (Willis Island), Mid Islet, North Cay"
3,Magdelaine Cays and Coringa Islets,Atoll (partially sunken),"Northwest Islet, Southeast Cay, Southwest, Chilcott Islets"
4,Herald Cays (North),Reef,Northwest Cay
5,Herald Cays (South),Reef,Southeast Cay
6,Lihou Reef and Cays,Atoll,18
7,Diamond Islands and Tregosse Reefs,Atoll (partially sunken),"West Diamond, Central Diamond, East Diamond, Southwest Diamond Islets"
8,Flinders Reefs (North),Atoll,"Flinders, Main, Victoria Cays"
9,Marion Reef,Atoll,"Paget, Carola, Brodie Cays"
10,Mellish Reef,Atoll,Heralds-Beacon Islet
11,Frederick Reefs,Atoll,Observatory Cay
12,Kenn Reef,Atoll,Observatory Cay
13,Saumarez Reef,Atoll,"Northeast, Southwest Cays"
14,Wreck Reef,Atoll,"Bird, West Islets, Porpoise Cay"
15,Cato Reef,Atoll,Cato Island
16,Middleton Reef,Atoll,The Sound
17,Elizabeth Reef,Atoll,Elizabeth Island
18,Total number of islands/cays,Total number of islands/cays,51
