,N o .,P u l a u / f i t u r [ 2 8 ],A r e a [ 2 9 ] [ 3 0 ] [ 3 1 ],A r e a [ 2 9 ] [ 3 0 ] [ 3 1 ],P o p u l a s i ( 2 0 2 0 s e n s u s ) [ 3 2 ],L u a s,L u a s,P u n c a k   T e r t i n g g i,L o k a s i
0,Kepulauan Utara (Kota Kepulauan Utara),Kepulauan Utara (Kota Kepulauan Utara),Kepulauan Utara (Kota Kepulauan Utara),Kepulauan Utara (Kota Kepulauan Utara),Kepulauan Utara (Kota Kepulauan Utara),Kepulauan Utara (Kota Kepulauan Utara),Kepulauan Utara (Kota Kepulauan Utara),Kepulauan Utara (Kota Kepulauan Utara),Kepulauan Utara (Kota Kepulauan Utara)
1,1,Farallon de Pajaros (Urracas),0.985,"2.551,14",—,1.047,319,,20°33′N 144°54′E﻿ / ﻿20.550°N 144.900°E
2,,Supply Reef,000,000,—,−26,−8[33],,20°08′N 145°6′E﻿ / ﻿20.133°N 145.100°E
3,2,Pulau Maug termasuk-Pulau Utara-Pulau Timur-Pulau Barat,0.822,"2.128,97",—,745,227,Pulau Utara,20°02′N 145°19′E﻿ / ﻿20.033°N 145.317°E
4,3,Asuncion,2.822,"7.308,95",—,2.923,891,,19°43′N 145°41′E﻿ / ﻿19.717°N 145.683°E
5,4,Agrihan (Agrigan)[n 1],1.680,"4.351,18",4,3.166,965,Gunung Agrihan,18°46′N 145°40′E﻿ / ﻿18.767°N 145.667°E
6,5,Pagan[n 2],1.824,"4.724,14",2,1.900,579,Gunung Pagan,18°08′36″N 145°47′39″E﻿ / ﻿18.14333°N 145.79417°E
7,6,Alamagan,429,"1.111,10",1,2.441,744,Alamagan,17°35′N 145°50′E﻿ / ﻿17.583°N 145.833°E
8,7,Guguan,1.494,"3.869,44",—,988,301,,17°20′N 145°51′E﻿ / ﻿17.333°N 145.850°E
9,,Zealandia Bank,0.0,0.0,—,0,0,,16°45′N 145°42′E﻿ / ﻿16.750°N 145.700°E
10,8,Sarigan[n 3],192,49728,—,1.801,549,—,16°43′N 145°47′E﻿ / ﻿16.717°N 145.783°E
11,9,Anatahan[n 1],1.205,"3.120,94",—,2.582,787,,16°22′N 145°40′E﻿ / ﻿16.367°N 145.667°E
12,10,Farallon de Medinilla,0.328,84952,—,266,81,,16°01′N 146°04′E﻿ / ﻿16.017°N 146.067°E
13,Kepulauan Selatan (3 kotamadya),Kepulauan Selatan (3 kotamadya),Kepulauan Selatan (3 kotamadya),Kepulauan Selatan (3 kotamadya),Kepulauan Selatan (3 kotamadya),Kepulauan Selatan (3 kotamadya),Kepulauan Selatan (3 kotamadya),Kepulauan Selatan (3 kotamadya),Kepulauan Selatan (3 kotamadya)
14,11,Saipan,4.455,"11.538,40",43385,1.555,474,Gunung Tapochau,15°11′06″N 145°44′28″E﻿ / ﻿15.18500°N 145.74111°E
15,12,Tinian,3.900,"10.100,95",2044,558,170,Kastiyu (Bukit Lasso),14°57′12″N 145°38′54″E﻿ / ﻿14.95333°N 145.64833°E
16,13,Aguijan (Agiguan)[n 4],274,70966,—,515,157,Alutom,14°42′N 145°18′E﻿ / ﻿14.700°N 145.300°E
17,14,Rota,3.297,"8.539,19",1893,1.611,491,Gunung Manira,14°08′37″N 145°11′08″E﻿ / ﻿14.14361°N 145.18556°E
18,,Kepulauan Mariana Utara,17.901,"46.363,38",47329,3.166,965,Gunung Agrihan,"14°08' to 20°33'N,144°54° to 146°04'E"
