,A t o l   a t a u   p u l a u,D a e r a h   p u l a u   ( k m 2 ),L a g u n a   ( k m 2 ),K o o r d i n a t,N a t i o n a l   W i l d l i f e   R e f u g e   ( N W R ) d i d i r i k a n,D i p e r o l e h,K o d e   F I P S [ A ],G E C [ B ] [ 2 3 ]
0,"Samudra Pasifik Utara, Kepulauan Hawaii Barat Laut","Samudra Pasifik Utara, Kepulauan Hawaii Barat Laut","Samudra Pasifik Utara, Kepulauan Hawaii Barat Laut","Samudra Pasifik Utara, Kepulauan Hawaii Barat Laut","Samudra Pasifik Utara, Kepulauan Hawaii Barat Laut","Samudra Pasifik Utara, Kepulauan Hawaii Barat Laut","Samudra Pasifik Utara, Kepulauan Hawaii Barat Laut","Samudra Pasifik Utara, Kepulauan Hawaii Barat Laut"
1,Atol Midway,6.2[24],40,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}28°13′N 177°22′W﻿ / ﻿28.217°N 177.367°W",22 April 1988[25],28 Agustus 1867,74300,MQ
2,"Samudra Pasifik Utara, pulau-pulau terpencil yang tersebar","Samudra Pasifik Utara, pulau-pulau terpencil yang tersebar","Samudra Pasifik Utara, pulau-pulau terpencil yang tersebar","Samudra Pasifik Utara, pulau-pulau terpencil yang tersebar","Samudra Pasifik Utara, pulau-pulau terpencil yang tersebar","Samudra Pasifik Utara, pulau-pulau terpencil yang tersebar","Samudra Pasifik Utara, pulau-pulau terpencil yang tersebar","Samudra Pasifik Utara, pulau-pulau terpencil yang tersebar"
3,Pulau Wake[C],6.5[26],6,19°18′N 166°38′E﻿ / ﻿19.300°N 166.633°E,16 Januari 2009[27][28],17 Januari 1899,74450,WQ
4,Atol Johnston,2.63[29],130,16°45′N 169°31′W﻿ / ﻿16.750°N 169.517°W,29 Juni 1926[30],6 September 1859,74200,JQ
5,"Samudra Pasifik Utara, sebelah utara Kepulauan Line","Samudra Pasifik Utara, sebelah utara Kepulauan Line","Samudra Pasifik Utara, sebelah utara Kepulauan Line","Samudra Pasifik Utara, sebelah utara Kepulauan Line","Samudra Pasifik Utara, sebelah utara Kepulauan Line","Samudra Pasifik Utara, sebelah utara Kepulauan Line","Samudra Pasifik Utara, sebelah utara Kepulauan Line","Samudra Pasifik Utara, sebelah utara Kepulauan Line"
6,Karang Kingman,0.03[31],76,6°24′N 162°24′W﻿ / ﻿6.400°N 162.400°W,18 Januari 2001[32],8 Februari 1860,74250,KQ
7,Atol Palmyra[D],11.9[33],15,5°53′N 162°05′W﻿ / ﻿5.883°N 162.083°W,18 Januari 2001[34],21 Februari 1912,74400,LQ
8,"Samudra Pasifik Utara, sebelah utara Pulau Phoenix","Samudra Pasifik Utara, sebelah utara Pulau Phoenix","Samudra Pasifik Utara, sebelah utara Pulau Phoenix","Samudra Pasifik Utara, sebelah utara Pulau Phoenix","Samudra Pasifik Utara, sebelah utara Pulau Phoenix","Samudra Pasifik Utara, sebelah utara Pulau Phoenix","Samudra Pasifik Utara, sebelah utara Pulau Phoenix","Samudra Pasifik Utara, sebelah utara Pulau Phoenix"
9,Pulau Howland,1.6[35],–,0°48′N 176°37′W﻿ / ﻿0.800°N 176.617°W,27 Juni 1974[3],28 Oktober 1856,74100,HQ
10,Pulau Baker,1.5[36],–,0°12′N 176°29′W﻿ / ﻿0.200°N 176.483°W,27 Juni 1974[3],28 Oktober 1856,74050,FQ
11,"Samudra Pasifik Selatan, bagian tengah Kepulauan Line","Samudra Pasifik Selatan, bagian tengah Kepulauan Line","Samudra Pasifik Selatan, bagian tengah Kepulauan Line","Samudra Pasifik Selatan, bagian tengah Kepulauan Line","Samudra Pasifik Selatan, bagian tengah Kepulauan Line","Samudra Pasifik Selatan, bagian tengah Kepulauan Line","Samudra Pasifik Selatan, bagian tengah Kepulauan Line","Samudra Pasifik Selatan, bagian tengah Kepulauan Line"
12,Pulau Jarvis,4.5[37],–,0°22′S 160°01′W﻿ / ﻿0.367°S 160.017°W,27 Juni 1974[4],28 Oktober 1856,74150,DQ
13,"Laut Karibia, Antillen Besar","Laut Karibia, Antillen Besar","Laut Karibia, Antillen Besar","Laut Karibia, Antillen Besar","Laut Karibia, Antillen Besar","Laut Karibia, Antillen Besar","Laut Karibia, Antillen Besar","Laut Karibia, Antillen Besar"
14,Pulau Navassa[E],5.4[38],–,18°24′N 75°01′W﻿ / ﻿18.400°N 75.017°W,3 Desember 1999[39],31 Oktober 1858,74350,BQ
15,"Laut Karibia, pulau-pulau terpencil yang tersebar","Laut Karibia, pulau-pulau terpencil yang tersebar","Laut Karibia, pulau-pulau terpencil yang tersebar","Laut Karibia, pulau-pulau terpencil yang tersebar","Laut Karibia, pulau-pulau terpencil yang tersebar","Laut Karibia, pulau-pulau terpencil yang tersebar","Laut Karibia, pulau-pulau terpencil yang tersebar","Laut Karibia, pulau-pulau terpencil yang tersebar"
16,Tepi Bajo Nuevo[F],0.02,155,15°53′N 78°38′W﻿ / ﻿15.883°N 78.633°W,,22 November 1869,(tidak ada),(tidak ada)
17,Tepi Serranilla[G],0.02,1200,15°50′N 79°50′W﻿ / ﻿15.833°N 79.833°W,,8 September 1879br>13 September 1880,(tidak ada),(tidak ada)
18,Kepulauan Terluar Kecil Amerika Serikat,40.26,267,,,,,
