,P u l a u,I b u   K o t a,A r e a   ( k m 2 ),P o p u l a s i [ b ],N a m a   A s l i   T a i n o
0,Kepulauan Caicos,Kepulauan Caicos,Kepulauan Caicos,Kepulauan Caicos,
1,South Caicos,Cockburn Harbour,21.2,2013,Kasiba
2,West Caicos,New Marina,28,10 (Karyawan resor baru),Makobisa
3,Providenciales,Downtown Providenciales,122,33253,Yukanaka Yanikana
4,Pine Cay,South Bay Village,3.2,30 (Resort Staff),Buyana
5,Parrot Cay,Parrot Cay Village,5,"90 (Setengah staf resor, setengah perumahan)",
6,North Caicos,Bottle Creek,116.4,2066,Kaiko
7,Middle Caicos,Conch Bar,136,522,Aniyana
8,Ambergris Cays,Big Ambergris Cay,10.9,50,
9,Kepulauan Caicos lainnya,East Caicos,146.5,0,Wana
10,Kepulauan Turks,Kepulauan Turks,Kepulauan Turks,Kepulauan Turks,Kepulauan Turks
11,Grand Turk,Cockburn Town,17.6,8051,Amuana
12,Salt Cay,Balfour Town,7.1,315,Kanamani Kanomani
13,Kepulauan Turks lainnya,Cotton Cay,2.4,0,Makarike
14,Kepulauan Turks dan Caicos,Cockburn Town,616.3,49000[7],
