,B e r t a k h t a,N a m a,C a t a t a n
0,527 hingga 587,(diduga)Æscwine atauErchenwine,"Raja pertama menurut beberapa sumber, yang lain mengatakan putra Sledd adalah yang pertama"
1,587 hingga ante 604,Sledd,Putra Æscwine/Erchenwine
2,ante 604 hingga 616/7?,Sæberht,Putra Sledd
3,616/7? hingga 623?,Sexred,Putra Sæberht. Rekan-raja Sæward dan saudara ketiga; tewas dalam pertempuran melawan Wessex
4,616/7? hingga 623?,Sæward,Putra Sæberht. Rekan-raja Sexred dan saudara ketiga; tewas dalam pertempuran melawan Wessex
5,616/7? hingga 623?,(putra Sæberht lainnyanamanya tidak diketahui),Rekan-raja Sexred dan Sæward; tewas dalam pertempuran melawan Wessex
6,623? hingga ante skt.653,Sigeberht I,
7,skt.653 hingga 660,Sigeberht II,Diduga putra Sæward. Santo Sigeberht; Santo Sebbi (Hari perayaannya 29 Agustus)
8,660 hingga 664,Swithhelm,
9,664 hingga 683,Sighere,"Putra Sigeberht, disebut 'yang Baik'. Rekan-raja Sæbbi"
10,664 hingga skt.694,Sæbbi,Putra Sexred. Rekan-raja Sighere; berabdikasi demi putranya Sigeheard
11,skt.694 hingga skt.709,Sigeheard,Rekan-raja saudaranya Swæfred[1]
12,skt.695 hingga skt.709,Swæfred,Putra Sæbbi. Rekan-raja saudaranya Sigeheard[1]
13,skt. 709,Offa,Rekan-raja pada masa akhir pemerintahan Swæfred dan mungkin Sigeheard
14,skt.709? to 746,Saelred,Merupakan keturunan jauh dari Sledd. Mungkin rekan-raja Swæfberht
15,skt.715 hingga 738,Swæfbert,Mungkin rekan-raja Saelred
16,746 hingga 758,Swithred,Cucu Sigeheard
17,758 hingga 798,Sigeric,Putra Saelred. Berabdikasi
18,798 hingga 812,Sigered,"Putra Sigeric. Mercia dikalahkan oleh Egbert dari Wessex, sub-kerajaan Essex digabungkan ke Wessex; dari tahun 812 hingga sekitar tahun 825 dianggap hanya sebagai dux."
