,T a h u n,#,T a n g g a l,N e g a r a,K o t a,P i m p i n a n   T u a n   R u m a h,R e f .
0,1989,ke-1,6–7 November,Australia,Canberra,Perdana Menteri Bob Hawke,[3]
1,1990,ke-2,29–31 Juli,Singapura,Singapura,Perdana Menteri Goh Chok Tong,
2,1991,ke-3,12–14 November,Korea Selatan,Seoul,Presiden Roh Tae-woo,
3,1992,ke-4,10–11 September,Thailand,Bangkok,Perdana Menteri Chuan Leekpai,
4,1993,ke-1,19–20 November,Amerika Serikat,Pulau Blake,Presiden Bill Clinton,
5,1994,ke-2,15–16 November,Indonesia,Bogor,Presiden Suharto,[14]
6,1995,ke-3,18–19 November,Jepang,Osaka,Perdana Menteri Tomiichi Murayama,
7,1996,ke-4,24–25 November,Filipina,Subic,Presiden Fidel Ramos,[18]
8,1997,ke-5,24–25 November,Kanada,Vancouver,Perdana Menteri Jean Chrétien,[19]
9,1998,ke-6,17–18 November,Malaysia,Kuala Lumpur,Perdana Menteri Mahathir Mohamad,
10,1999,ke-7,12–13 September,Selandia Baru,Auckland,Perdana Menteri Jenny Shipley,
11,2000,ke-8,15–16 November,Brunei,Bandar Seri Begawan,Sultan Hassanal Bolkiah,[20]
12,2001,ke-9,20–21 Oktober,Tiongkok,Shanghai,Presiden Jiang Zemin,[21]
13,2002,ke-10,26–27 Oktober,Meksiko,Los Cabos,Presiden Vicente Fox,
14,2003,ke-11,20–21 Oktober,Thailand,Bangkok,Perdana Menteri Thaksin Shinawatra,
15,2004,ke-12,20–21 November,Chili,Santiago,Presiden Ricardo Lagos,[22]
16,2005,ke-13,18–19 November,Korea Selatan,Busan,Presiden Roh Moo-hyun,[23]
17,2006,ke-14,18–19 November,Vietnam,Hanoi,Presiden Nguyễn Minh Triết,[24]
18,2007,ke-15,8–9 September,Australia,Sydney,Perdana Menteri John Howard,[25]
19,2008,ke-16,22–23 November,Peru,Lima,Presiden Alan Garcia Perez,[26]
20,2009,ke-17,14–15 November,Singapura,Singapura,Perdana Menteri Lee Hsien Loong,
21,2010,ke-18,13–14 November,Jepang,Yokohama,Perdana Menteri Naoto Kan,[27]
22,2011,ke-19,12–13 November,Amerika Serikat,Honolulu,Presiden Barack Obama,[28]
23,2012,ke-20,9–10 September,Rusia,Vladivostok,Presiden Vladimir Putin,[29]
24,2013,ke-21,5–7 Oktober,Indonesia,Bali,Presiden Susilo Bambang Yudhoyono,[30]
25,2014,ke-22,10–11 November,Tiongkok,Beijing,Presiden Xi Jinping,[31]
26,2015,ke-23,18–19 November,Filipina,Pasay,Presiden Benigno Aquino III,[32]
27,2016,ke-24,19–20 November,Peru,Lima,Presiden Pedro Pablo Kuczynski,[33]
28,2017,ke-25,10–11 November,Vietnam,Da Nang,Presiden Trần Đại Quang,[34]
29,2018,ke-26,17–18 November,Papua Nugini,Port Moresby,Perdana Menteri Peter O'Neill,[35]
30,2019,ke-27,16–17 November (dibatalkan),Chili,Santiago,Presiden Sebastián Piñera,
31,2020,ke-27,20 November,Malaysia,Kuala Lumpur (dilaksanakan secara daring)[36],Perdana Menteri Muhyiddin Yassin,
32,2021,-,16 Juli,Selandia baru,Auckland (dilaksanakan secara daring),Perdana Menteri Jacinda Ardern,
33,2021,ke-28,12 November[37],Selandia baru,Auckland (dilaksanakan secara daring),Perdana Menteri Jacinda Ardern,
34,2022,ke-29,18-19 November,Thailand,Bangkok,Perdana Menteri Prayut Chan-o-cha,
35,2023,ke-30,TBA,Amerika Serikat,TBA,Presiden Joe Biden,
36,2024,ke-31,TBA,Peru,Lima,Presiden Pedro Castillo,
37,2025,ke-32,TBA,Korea Selatan,TBA,Presiden Yoon Seok-yeol,
38,2026,ke-33,TBA,TBA,TBA,TBA,
