,P e r i o d e,N a m a   R a j a,C a t a t a n   d a n   p e r i s t i w a   p e n t i n g
0,1402-1414,ParameswaraRaja Iskandar Syah,Raja kelima Singapura sebelum bubardan berpindah tempat ke Melaka
1,1414-1424,Megat Iskandar Syah,
2,1424-1444,Muhammad SyahRaja/Raden Tengah,
3,1444-1446,Sri Parameswara Dewa SyahSultan Abu Syahid Syah,"Dibunuh karena konflik internaldengan Bendahara Tun Ali,Mudzaffar Syah/Raja Kasim,Tun Pepatih Sedang,dan Datuk Bendahara Seri Amar Diraja"
4,1446-1459,Mudzaffar SyahRaja Kasim,
5,1459-1477,Mansur SyahRaja Abdullah,
6,1477-1488,Ala'uddin Riayat SyahRaja Hussein,"Diduga diracunoleh Raja Ahmad,Bendahara Seri Maharaja,dan Tun Senaja"
7,1488-1511,Mahmud Syah,Diserang Portugis
8,1511-1513,Ahmad Syah,Dibunuh Mahmud Syah karena inkompeten
9,1513-1528,Sultan Mahmud Syah,Klaim tahta Kerajaan Melaka.Kemudian mengungsidan meninggal di Kampar Pekan Tua
