,"D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o","D a t a   i k l i m   K i n s h a s a ,   R e p u b l i k   D e m o k r a t i k   K o n g o"
0,Rekor tertinggi °C (°F),36 (97),36 (97),38 (100),37 (99),37 (99),37 (99),32 (90),33 (91),35 (95),35 (95),37 (99),34 (93),38 (100)
1,Rata-rata tertinggi °C (°F),30.6 (87.1),31.3 (88.3),32.0 (89.6),32.0 (89.6),31.1 (88),28.8 (83.8),27.3 (81.1),28.9 (84),30.6 (87.1),31.1 (88),30.6 (87.1),30.1 (86.2),30.4 (86.7)
2,Rata-rata harian °C (°F),25.9 (78.6),26.4 (79.5),26.8 (80.2),26.9 (80.4),26.3 (79.3),24.0 (75.2),22.5 (72.5),23.7 (74.7),25.4 (77.7),26.2 (79.2),26.0 (78.8),25.6 (78.1),25.5 (77.9)
3,Rata-rata terendah °C (°F),21.2 (70.2),21.6 (70.9),21.6 (70.9),21.8 (71.2),21.6 (70.9),19.3 (66.7),17.7 (63.9),18.5 (65.3),20.2 (68.4),21.3 (70.3),21.5 (70.7),21.2 (70.2),20.6 (69.1)
4,Rekor terendah °C (°F),18 (64),20 (68),18 (64),20 (68),18 (64),15 (59),10 (50),12 (54),16 (61),17 (63),18 (64),16 (61),10 (50)
5,Presipitasi mm (inci),163 (6.42),165 (6.5),221 (8.7),238 (9.37),142 (5.59),9 (0.35),5 (0.2),2 (0.08),49 (1.93),98 (3.86),247 (9.72),143 (5.63),"1.482 (58,35)"
6,Rata-rata hari hujan atau bersalju,12,12,14,17,12,1,0,1,6,10,16,14,115
7,% kelembapan,83,82,81,82,82,81,79,74,74,79,83,83,80.3
8,Rata-rata sinar matahari bulanan,136,141,164,153,164,144,133,155,138,149,135,127,1.739
9,Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4],Sumber #1: Climate-Data.org (suhu udara)[3] Weatherbase (ekstrem)[4]
10,"Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]","Sumber #2: Danish Meteorological Institute (curah hujan, penyinaran matahari, dan kelembapan)[5]"
