,N e g a r a   b a g i a n,J u m l a h   p e n d u d u k,J u m l a h   t o t a l   b u d a k,J u m l a h   r u m a h   t a n g g a,J u m l a h   p o p u l a s i   b e b a s,J u m l a h   t o t a l   p e m i l i k   b u d a k,%   d a r i   p o p u l a s i   b e b a s   y a n g   m e m i l i k i   b u d a k   [ 2 ],%   k e l u a r g a   b e b a s   y a n g   m e m i l i k i   b u d a k   [ 1 6 1 ],B u d a k   s e b a g a i   %   d a r i   p o p u l a s i,T o t a l   w a r n a   g r a t i s
0,Alabama,964201,435080,96603,529121,33730,6%,35%,45%,2690
1,Arkansas,435450,111115,57244,324335,11481,4%,20%,26%,144
2,Florida,140424,61745,15090,78679,5152,7%,34%,44%,932
3,Georgia,1057286,462198,109919,595088,41084,7%,37%,44%,3500
4,Louisiana,708002,331726,74725,376276,22033,6%,29%,47%,18647
5,Mississippi,791305,436631,63015,354674,30943,9%,49%,55%,773
6,Carolina Utara,992622,331059,125090,661563,34658,5%,28%,33%,30463
7,Carolina Selatan,703708,402406,58642,301302,26701,9%,46%,57%,9914
8,Tennessee,1109801,275719,149335,834082,36844,4%,25%,25%,7300
9,Texas,604215,182566,76781,421649,21878,5%,28%,30%,355
10,Virginia[162],1596318,490865,201523,1105453,52128,5%,26%,31%,58042
11,Total,9103332,3521110,1027967,5582222,316632,6%,30.8%,39%,132760
