,I P A,P e n j e l a s a n,C o n t o h,C o n t o h,C o n t o h,C o n t o h
0,,konsonan nasal alveolar,Inggris,run,[ɹʷʌn],lari
1,,konsonan hentian alveolar nirsuara,Inggris,stop,[stɑp],berhenti
2,,konsonan hentian alveolar bersuara,Inggris,debt,[dɛt],utang
3,,konsonan frikatif alveolar nirsuara,Inggris,suit,[suːt],jas
4,,konsonan frikatif alveolar bersuara,Inggris,zoo,[zuː],kebun binatang
5,,konsonan afrikat alveolar nirsuara,Jerman,Zeit,[t͡saɪt],waktu
6,,konsonan afrikat alveolar bersuara,Italia,zaino,[ˈd͡zaino],ransel
7,,konsonan frikatif lateral alveolar nirsuara,Wales,llwyd,[ɬʊɪd],abu-abu
8,,konsonan frikatif lateral alveolar bersuara,Zulu,dlala,[ˈɮálà],bermain
9,t͡ɬ,konsonan afrikat lateral nirsuara,Tsez,элIни,[ˈʔe̞t͡ɬni],musim dingin
10,d͡ɮ,konsonan afrikat lateral bersuara,Oowekyala,,,
11,,Konsonan hampiran rongga-gigi,Inggris,red,[ɹʷɛd],merah
12,,konsonan malaran tak bergeser lateral alveolar,Inggris,loop,[lup],bundaran
13,,konsonan malaran tak bergeser lateral alveolar divelarisasikan,Inggris,milk,[mɪɫk],susu
14,,konsonan sentuhan alveolar,Inggris,better,[bɛɾɚ],lebih baik
15,,konsonan sentuhan lateral alveolar,Venda,,[vuɺa],membuka
16,,konsonan getar alveolar,Spanyol,perro,[pero],anjing
17,,konsonan ejektif alveolar,Georgia,ტიტა,[tʼitʼa],tulip
18,,konsonan frikatif ejektif alveolar,Amhar,ጼጋ,[sʼɛɡa],karunia
19,,konsonan frikatif lateral ejektif alveolar,Adyghe,плӀы,[pɬ’ə],empat
20,,konsonan implosif alveolar bersuara,Vietnam,đã,[ɗɐː],(penanda kala lampau)
21,,konsonan klik alveolar,Nama,ǁî,[ǁĩː],dibicarakan
