,I P A,P e n j e l a s a n,C o n t o h,C o n t o h,C o n t o h,C o n t o h
0,,konsonan nasal dental,Rusia,банк,[ban̪k],'bank'
1,,konsonan hentian dental nirsuara,Finlandia,tutti,[t̪ut̪t̪i],'dot'
2,,konsonan hentian dental bersuara,Arab,دين,[d̪iːn],'agama'
3,s̪,konsonan frikatif sibilan dental nirsuara,Polandia,kosa,[kɔs̪a],'sabit'
4,z̪,konsonan frikatif sibilan dental bersuara,Polandia,koza,[kɔz̪a],'kambing'
5,,konsonan frikatif dental nirsuara,Inggris,thing,[θɪŋ],'benda'
6,,konsonan frikatif dental bersuara,Inggris,this,[ðɪs],'ini'
7,,konsonan malaran tak bergeser dental,Spanyol,codo,[koð̞o],'siku'
8,,konsonan malaran tak bergeser lateral dental,Spanyol,alto,[al̪t̪o],'tinggi'
9,,konsonan getaran dental,Hongaria,ró,[r̪oː],'mengukir'
10,,konsonan ejektif dental,,,,
11,,konsonan implosif dental,,,,
12,,konsonan klik dental,Xhosa,ukúcola,[ukʼúkǀola],'menggiling'
