,B a h a s a,K a t a,I P A,A r t i
0,Adyghe,дахэ,[daːxa],'lucu'
1,Belanda,dak,[dɑk],'atap'
2,Ceska,do,[do],'ke dalam'
3,Finlandia,sidos,[ˈsido̞s],'ikatan'
4,Frisia Barat,doarp,[ˈdwɑrp],'desa'
5,Hongaria,adó,[ˈɒdoː],'pajak'
6,Ibrani,דואר,[ˈdoʔaʁ],'surat'
7,Indonesia,dacing,[ˈdätʃɪŋ],'dacing'
8,Inggris,daddy,[dædɪ],'ayah'
9,Jepang,男性的 danseiteki,[danseiteki],'maskulin'
10,Jerman,Dach,[dax],'atap'
11,Kabardia,дахэ,[daːxa],'lucu'
12,Korea,아들 adeul,[adɯl],'anak laki-laki'
13,Malta,dehen,[den],'kepintaran'
14,Melayu,dahan,[dähän],'dahan'
15,Neo-Aramaik Asiria,wada,[waːda],'melakukan'/'membuat'
16,Norwegia,dans,[dɑns],'tari'
17,Slowakia,do,[do],'ke dalam'
18,Thai,ดาว,[daːu],'bintang'
19,Yi,ꄿ dda,[da˧],'tempat'
20,Yunani,ντροπή dropí,[dro̞ˈpi],'malu'
