,D a e r a h   →,B i b i r,B i b i r,B i b i r,B i b i r,B i b i r,L i d a h   t e n g a h,L i d a h   t e n g a h,L i d a h   t e n g a h,L i d a h   t e n g a h,L i d a h   t e n g a h,L i d a h   t e n g a h,L i d a h   t e n g a h,L i d a h   t e n g a h,L i d a h   t e n g a h,L i d a h   t e n g a h,L i d a h   t e n g a h,L i d a h   t e n g a h,a k a r   l i d a h,a k a r   l i d a h,a k a r   l i d a h,a k a r   l i d a h,a k a r   l i d a h,L a r i n g,L a r i n g,L a r i n g,L a r i n g,L a r i n g,L a r i n g,L a r i n g,L a r i n g
0,Sengau,m̥,m,,ɱ,,n̼,,,n̥,n,,,ɳ̊,ɳ,,,ɲ̊,ɲ,ŋ̊,ŋ,,ɴ,,,,,,,,
1,Letup,p,b,p̪,b̪,t̼,d̼,,,t,d,,,ʈ,ɖ,,,c,ɟ,k,ɡ,q,ɢ,,,ʡ,,ʔ,,,
2,Gesek sibilan,,,,,,,,,ts,dz,t̠ʃ,d̠ʒ,ʈʂ,ɖʐ,tɕ,dʑ,,,,,,,,,,,,,,
3,Gesek non-sibilan,pɸ,bβ,p̪f,b̪v,,,t̪θ,d̪ð,tɹ̝̊,dɹ̝,t̠ɹ̠̊˔,d̠ɹ̠˔,,,,,cç,ɟʝ,kx,ɡɣ,qχ,ɢʁ,,,,ʡʢ,ʔh,,,
4,Frikatif sibilan,,,,,,,,,s,z,ʃ,ʒ,ʂ,ʐ,ɕ,ʑ,,,,,,,,,,,,,,
5,Frikatif non-sibilan,ɸ,β,f,v,θ̼,ð̼,θ,ð,θ̠,ð̠,ɹ̠̊˔,ɹ̠˔,,ɻ˔,,,ç,ʝ,x,ɣ,χ,ʁ,ʜ,ʢ,ħ,ʕ,h,ɦ,,
6,Hampiran,,,,ʋ,,,,,,ɹ,,,,ɻ,,,,j,,ɰ,,,,,,,,ʔ̞,,
7,Kepakan,,ⱱ̟,,ⱱ,,ɾ̼,,,ɾ̥,ɾ,,,ɽ̊,ɽ,,,,,,,,ɢ̆,,,,ʡ̆,,,,
8,Getar,ʙ̥,ʙ,,,,,,,r̥,r,,,ɽ̊r̥,ɽr,,,,,,,ʀ̥,ʀ,,,ʜ,ʢ,,,,
9,Konsonan gesek sisi,,,,,,,,,tɬ,dɮ,,,ʈɭ̊˔,ɖɭ˔,,,cʎ̝̊,ɟʎ̝,kʟ̝̊,ɡʟ̝,,,,,,,,,,
10,Frikatif sisi,,,,,,,,,ɬ,ɮ,,,ɭ̊˔,ɭ˔,,,ʎ̝̊,ʎ̝,ʟ̝̊,ʟ̝,,,,,,,,,,
11,Hampiran sisi,,,,,,,,,,l,,,,ɭ,,,,ʎ,,ʟ,,ʟ̠,,,,,,,,
12,Kepakan sisi,,,,,,,,,ɺ̥,ɺ,,,ɭ̥̆,ɭ̆,,,,ʎ̆,,ʟ̆,,,,,,,,,,
