,B a h a s a,B a h a s a . 1,K a t a,I P A,A r t i
0,Adyghe,Adyghe,мазэ,[maːza],'bulan'
1,Arab,Baku[1],مطابخ,[mɑˈtˤɑːbiχ],'dapur'
2,Armenia,Timur[2],մայր,[mɑjɾ],'ibu'
3,Asyur Neo-Aram,Asyur Neo-Aram,mara,[maːra],'pemilik'
4,Basque,Basque,maitatu,[majt̪at̪u],'mencintai'
5,Belanda[3],Belanda[3],mond,[mɔnt],'mulut'
6,Bulgaria,Bulgaria,мъгла,[mɐɡla],'kabut'
7,Ceska,Ceska,muž,[mʊʃ],'manusia'
8,Cherokee,Cherokee,ᎠᎹ,[ama˦],'air'
9,Filipino,Filipino,manok,[maˈnok],'ayam jago'
10,Finlandia,Finlandia,minä,[ˈminæ],'saya'
11,Frisia Barat,Frisia Barat,mar,[mar],'danau'
12,Georgia[4],Georgia[4],სამი,[ˈsɑmi],'tiga'
13,Gujarat,Gujarat,મોર mōr,,'merak jantan'
14,Hawaii[5],Hawaii[5],maka,[maka],'mata'
15,Hindi,Hindi,मकान,[məkaːn],'rumah'
16,Hungaria,Hungaria,ma,[mɒ],'hari ini'
17,Ibrani,Ibrani,אמא,[ˈʔimä],'ibu'
18,Inggris,Inggris,him,[hɪm],'ia (m)'
19,Indonesia[6],Indonesia[6],masuk,[ˈmäsʊʔ],'masuk'
20,Italia[7],Italia[7],mamma,[ˈmamma],'ibu'
21,Jepang[8],Jepang[8],乾杯 kampai,[kampai],'bersulang'
22,Jerman,Jerman,Maus,[maʊ̯s],'tikus'
23,Kabardia,Kabardia,мазэ,[maːza],'bulan'
24,Kagayanen[9],Kagayanen[9],[manaŋ],[manaŋ],'kakak perempuan'
25,Katalan,Katalan,mare[10],[ˈmaɾə],'ibu'
26,Korea,Korea,엄마 eomma,[ʌmma],'ibu'
27,Makedonia,Makedonia,мајка,[ˈmajka],'ibu'
28,Malayalam[11],Malayalam[11],കമ്മി,[kəmmi],'kekurangan'
29,Malta,Malta,ilma,[ilma],'air'
30,Marathi,Marathi,मन,[mən],'pikiran'
31,Melayu,Melayu,malam,[mäläm],'malam'
32,Norwegia,Norwegia,mamma,[ˈmɑmːɑ],'ibu'
33,Prancis[12],Prancis[12],manger,[mɑ̃ʒe],'makan'
34,Persia,Persia,مادر,[mɒdær],'ibu'
35,Pirahã,Pirahã,baíxi,[ˈmàí̯ʔì],'orang tua'
36,Polandia[13],Polandia[13],masa,[ˈmäs̪ä],'masa'
37,Portugis[14],Portugis[14],mato,[ˈmatu],'semak'
38,Punjab,Punjab,ਮੈਂ,[mɛ̃ː],'saya/aku'
39,Rusia[15],Rusia[15],муж,[muʂ],'suami'
40,Serbo-Kroasia,Serbo-Kroasia,милина / milina,[milǐnä],'kenikmatan'
41,Slowakia,Slowakia,muž,[mʊʃ],'manusia'
42,Spanyol[16],Spanyol[16],grumete,[ɡɾuˈme̞te̞],'kru kapal'
43,Swahili,Swahili,miti,[ˈmiti],'pepohonan'
44,Swedia,Swedia,mask,[mask],'cacing'
45,Tionghoa,Kanton,晚 maan5,[maːn˩˧],'malam'
46,Tionghoa,Mandarin,母親 mǔqīn,[mu˨˩ tɕʰin˥],'ibu'
47,Tsez,Tsez,мец,[mɛ̝t͡s],'bahasa/lidah'
48,Turki,Turki,benim,[be̞nim],'milikku'
49,Ukraina,Ukraina,молоко,[mo.ɫo.ˈkɔ],'susu'
50,Urdu,Urdu,مکان,[məkaːn],'rumah'
51,Uyghur,Uyghur,مەن,[mæn],'saya/aku'
52,Vietnam[17],Vietnam[17],muối,[mwoj˧ˀ˥],'garam'
53,Wales,Wales,mam,[mam],'ibu'
54,Yi,Yi,ꂷ ma,[ma˧ ],'bambu'
55,Yunani[18],Yunani[18],μάζα maza,[ˈmaza],'masa'
56,Zapotek,Tilquiapan[19],man,[maŋ],'hewan'
