,0,1,2
0,Konstantinus Agung Dinasti Konstantinian Lahir: 10 Februari 272 Meninggal: 22 Mei 337,Konstantinus Agung Dinasti Konstantinian Lahir: 10 Februari 272 Meninggal: 22 Mei 337,Konstantinus Agung Dinasti Konstantinian Lahir: 10 Februari 272 Meninggal: 22 Mei 337
1,Gelar kebangsawanan,Gelar kebangsawanan,Gelar kebangsawanan
2,Didahului oleh:Konstantius I,"Kaisar Romawi306–337bersama dengan Galerius, Licinius dan Maximinus Daia",Diteruskan oleh:Konstantinus II
3,Jabatan politik,Jabatan politik,Jabatan politik
4,"Didahului oleh:Konstantius Klorus, Galerius","Konsul Kekaisaran Romawi307bersama dengan Maximianus, Flavius Valerius Severus, Maximinus Daia, Galerius","Diteruskan oleh:Diokletianus, Galerius, Maxentius, Valerius Romulus"
5,"Didahului oleh:Diokletianus, Galerius, Maxentius, Valerius Romulus","Konsul Kekaisaran Romawi309bersama dengan Lisinius, Maxentius, Valerius Romulus","Diteruskan oleh:Titus Andronicus, Pompeius Probus, Maxentius"
6,"Didahului oleh:Galerius, Maximinus Daia, Gaius Caeionius Rufius Volusianus, Aradius Rufinus","Konsul Kekaisaran Romawi312–313bersama dengan Lisinius, Maxentius, Maximinus Daia","Diteruskan oleh:Gaius Caeionius Rufius Volusianus, Petronius Annianus"
7,"Didahului oleh:Gaius Caeionius Rufius Volusianus, Petronius Annianus",Konsul Kekaisaran Romawi315bersama dengan Lisinius,"Diteruskan oleh:Antonius Caecinius Sabinus, Vettius Rufinus"
8,"Didahului oleh:Lisinius, Krispus","Konsul Kekaisaran Romawi319–320bersama dengan Lisinius II, Konstantinus II","Diteruskan oleh:Krispus, Konstantinus II, Lisinius, Lisinius II"
9,"Didahului oleh:Sextus Anicius Faustus Paulinus, Julius Julianus",Konsul Kekaisaran Romawi326bersama dengan Konstantius II,"Diteruskan oleh:Lucius Valerius Maximus Basilius, Flavius Konstantius"
10,"Didahului oleh:Ianuarinus, Vettius Iustus",Konsul Kekaisaran Romawi329bersama dengan Konstantinus II,"Diteruskan oleh:Gallicanus, Aurelius Valerius Tullianus Simakhus"
11,Gelar kebangsawanan,Gelar kebangsawanan,Gelar kebangsawanan
12,Didahului oleh:Konstantius Klorus,Raja Britania,Diteruskan oleh:Octavius
