,N a m a a,H a n g u l,H a n j a
0,Pyongyang,평양직할시,平壤直轄市
1,Daerah Administratif Khusus (T'ŭkpyŏl Haengjŏnggu)a,Daerah Administratif Khusus (T'ŭkpyŏl Haengjŏnggu)a,Daerah Administratif Khusus (T'ŭkpyŏl Haengjŏnggu)a
2,Daerah Industri Kaesong,개성공업지구,開城工業地區
3,Daerah Pariwisata Kumgangsan,금강산관광지구,金剛山觀光地區
4,Daerah Administratif Khusus Sinuiju,신의주특별행정구,新義州特別行政區
5,Provinsi (do)a,Provinsi (do)a,Provinsi (do)a
6,Pyongan Selatan,평안남도,平安南道
7,Pyongan Utara,평안북도,平安北道
8,Chagang,자강도,慈江道
9,Hwanghae Selatan,황해남도,黃海南道
10,Hwanghae Utara,황해북도,黃海北道
11,Kangwon,강원도,江原道
12,Hamgyong Selatan,함경남도,咸鏡南道
13,Hamgyong Utara,함경북도,咸鏡北道
14,Ryanggang *,량강도,兩江道
15,"*–Seringkali dialihaksarakan sebagai ""Yanggang"".","*–Seringkali dialihaksarakan sebagai ""Yanggang"".","*–Seringkali dialihaksarakan sebagai ""Yanggang""."
