,"D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a","D a t a   i k l i m   A m b o n ,   M a l u k u ,   I n d o n e s i a"
0,Rekor tertinggi °C (°F),37.8 (100),40.1 (104.2),37.9 (100.2),37.3 (99.1),37.1 (98.8),35.6 (96.1),34.4 (93.9),34.1 (93.4),37.7 (99.9),41.0 (105.8),38.9 (102),41.0 (105.8),41 (105.8)
1,Rata-rata tertinggi °C (°F),32.3 (90.1),32.4 (90.3),31.1 (88),30.7 (87.3),29.8 (85.6),28.5 (83.3),27.5 (81.5),27.8 (82),29.1 (84.4),31.3 (88.3),32.3 (90.1),32.5 (90.5),30.44 (86.78)
2,Rata-rata harian °C (°F),27.7 (81.9),27.0 (80.6),26.9 (80.4),26.7 (80.1),26.4 (79.5),25.6 (78.1),25.1 (77.2),25.1 (77.2),25.7 (78.3),26.5 (79.7),27.3 (81.1),27.5 (81.5),26.46 (79.63)
3,Rata-rata terendah °C (°F),24.3 (75.7),24.1 (75.4),23.8 (74.8),23.9 (75),23.7 (74.7),23.6 (74.5),23.2 (73.8),23.1 (73.6),23.3 (73.9),23.8 (74.8),24.1 (75.4),24.2 (75.6),23.76 (74.77)
4,Rekor terendah °C (°F),21.1 (70),20.3 (68.5),22.2 (72),22.1 (71.8),18.1 (64.6),19.4 (66.9),18.3 (64.9),18.4 (65.1),18.9 (66),19.7 (67.5),20.2 (68.4),21.4 (70.5),18.1 (64.6)
5,Presipitasi mm (inci),137 (5.39),112 (4.41),145 (5.71),182 (7.17),285 (11.22),400 (15.75),398 (15.67),296 (11.65),191 (7.52),133 (5.24),87 (3.43),137 (5.39),"2.503 (98,55)"
6,Rata-rata hari hujan,14,11,16,19,22,24,23,21,18,14,10,14,206
7,% kelembapan,79,80,81,83,85,87,86,85,84,83,80,79,82.7
8,Rata-rata sinar matahari harian,6.5,6.8,6.2,5.9,5.0,3.7,3.6,4.0,5.0,6.2,7.3,6.5,5.56
9,Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74],Sumber #1: Weatherbase[73] & Deutscher Wetterdienst[74]
10,Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76],Sumber #2: WeatherAtlas[75] & BMKG[76]
