,P e r i n g k a t,P o p u l a s i   k o t a   ( b a t a s ),P o p u l a s i   d i   w i l a y a h   m e t r o p o l i t a n,P e r s e n t a s e   k e l a h i r a n   a s i n g,B i a y a   h i d u p   e k s p a t r i a t,S i s t e m   m e t r o   m e n u r u t   p e r j a l a n a n   p e n u m p a n g   t a h u n a n,1 0   s i s t e m   r e l   m e n u r u t   p a n j a n g,L a l u   l i n t a s   u d a r a   p e n u m p a n g   t a h u n a n   d a l a m   s e b u a h   b a n d a r a   t u n g g a l   [ 3 ],N u m b e r   o f   b i l l i o n a i r e s   ( U S   D o l l a r s ) [ 4 ] [ 5 ] [ 6 ],G r o s s   M e t r o p o l i t a n   P r o d u c t   a t   P P P s   ( T o t a l   o u t p u t ;   n o t   p e r   c a p i t a )   [ 7 ]
0,1,Mumbai,Tokyo,Miami,Moscow,Tokyo,London,Atlanta,Moscow,Tokyo
1,2,Karachi,Mexico City,Toronto,London,Moscow,New York City,Chicago,New York City,New York City
2,3,Delhi,Seoul,Los Angeles,Seoul,New York City,Tokyo,London,London,Los Angeles
3,4,São Paulo,New York City,Vancouver,Tokyo,Seoul,Seoul,Tokyo,Istanbul,Chicago
4,5,Shanghai,São Paulo,New York City,Hong Kong,Mexico City,Madrid,Los Angeles,Hong Kong,Paris
5,6,Moscow,Mumbai,Singapore,Copenhagen,Paris,Moscow,Dallas,Los Angeles,London
6,7,Seoul,Delhi,Sydney,Jenewa,London,Paris,Paris,Mumbai,Greater Osaka Metropolitan Region
7,8,Istanbul,Shanghai,Abidjan,Osaka,Hong Kong,Mexico City,Frankfurt,San Francisco,Mexico City
8,9,Mexico City,Jakarta,London,Zürich,Osaka,Hong Kong,Beijing,Dallas,Philadelphia
9,10,Tokyo,Moscow,Paris,Oslo,São Paulo,Chicago,Denver,Tokyo,"Washington, D.C."
