,K o t a,P e n u l i s a n J e p a n g,P r e f e k t u r,D i s t r i k,L u a s   W i l a y a h
0,Nanporo,南幌町,Hokkaidō,Sorachi,81.36
1,Naie,奈井江町,Hokkaidō,Sorachi,88.19
2,Kamisunagawa,上砂川町,Hokkaidō,Sorachi,39.98
3,Yuni,由仁町,Hokkaidō,Yūbari,133.74
4,Naganuma,長沼町,Hokkaidō,Yūbari,168.52
5,Kuriyama,栗山町,Hokkaidō,Yūbari,203.93
6,Tsukigata,月形町,Hokkaidō,Kabato,150.4
7,Urausu,浦臼町,Hokkaidō,Kabato,101.83
8,Shintotsukawa,新十津川町,Hokkaidō,Kabato,495.47
9,Moseushi,妹背牛町,Hokkaidō,Uryū,48.64
10,Chippubetsu,秩父別町,Hokkaidō,Uryū,47.18
11,Uryū,雨竜町,Hokkaidō,Uryū,191.15
12,Hokuryū,北竜町,Hokkaidō,Uryū,158.7
13,Numata,沼田町,Hokkaidō,Uryū,283.35
14,Tōbetsu,当別町,Hokkaidō,Ishikari,422.86
15,Suttsu,寿都町,Hokkaidō,Suttsu,95.24
16,Kuromatsunai,黒松内町,Hokkaidō,Suttsu,345.65
17,Rankoshi,蘭越町,Hokkaidō,Isoya,449.78
18,Niseko,ニセコ町,Hokkaidō,Abuta,197.13
19,Kimobetsu,喜茂別町,Hokkaidō,Abuta,189.41
20,Kyōgoku,京極町,Hokkaidō,Abuta,231.49
21,Kutchan,倶知安町,Hokkaidō,Abuta,261.34
22,Kyōwa,共和町,Hokkaidō,Iwanai,304.91
23,Iwanai,岩内町,Hokkaidō,Iwanai,70.6
24,Shakotan,積丹町,Hokkaidō,Shakotan,238.14
25,Furubira,古平町,Hokkaidō,Furubira,188.36
26,Niki,仁木町,Hokkaidō,Yoichi,167.96
27,Yoichi,余市町,Hokkaidō,Yoichi,140.59
28,Toyoura,豊浦町,Hokkaidō,Abuta,233.57
29,Tōyako,洞爺湖町,Hokkaidō,Abuta,180.81
30,Sōbetsu,壮瞥町,Hokkaidō,Usu,205.01
31,Shiraoi,白老町,Hokkaidō,Shiraoi,425.64
32,Atsuma,厚真町,Hokkaidō,Yūfutsu,404.61
33,Abira,安平町,Hokkaidō,Yūfutsu,237.16
34,Mukawa,むかわ町,Hokkaidō,Yūfutsu,711.36
35,Hidaka,日高町,Hokkaidō,Saru,992.11
36,Biratori,平取町,Hokkaidō,Saru,743.09
37,Niikappu,新冠町,Hokkaidō,Niikappu,585.81
38,Urakawa,浦河町,Hokkaidō,Urakawa,694.26
39,Samani,様似町,Hokkaidō,Samani,364.3
40,Erimo,えりも町,Hokkaidō,Horoizumi,284.0
41,Shinhidaka,新ひだか町,Hokkaidō,Hidaka,1147.55
42,Matsumae,松前町,Hokkaidō,Matsumae,293.25
43,Fukushima,福島町,Hokkaidō,Matsumae,187.28
44,Shiriuchi,知内町,Hokkaidō,Kamiiso,196.75
45,Kikonai,木古内町,Hokkaidō,Kamiiso,221.87
46,Nanae,七飯町,Hokkaidō,Kameda,216.75
47,Shikabe,鹿部町,Hokkaidō,Kayabe,110.64
48,Mori,森町,Hokkaidō,Kayabe,368.79
49,Yakumo,八雲町,Hokkaidō,Futami,956.02
50,Oshamambe,長万部町,Hokkaidō,Yamakoshi,310.76
51,Esashi,江差町,Hokkaidō,Hiyama,109.53
52,Kaminokuni,上ノ国町,Hokkaidō,Hiyama,547.71
53,Assabu,厚沢部町,Hokkaidō,Hiyama,460.58
54,Otobe,乙部町,Hokkaidō,Nishi,162.59
55,Okushiri,奥尻町,Hokkaidō,Okushiri,
56,Imakane,今金町,Hokkaidō,Setana,568.25
57,Setana,せたな町,Hokkaidō,Kudō,638.66
58,Takasu,鷹栖町,Hokkaidō,Kamikawa (Ishikari),139.42
59,Higashikagura,東神楽町,Hokkaidō,Kamikawa (Ishikari),68.5
60,Tōma,当麻町,Hokkaidō,Kamikawa (Ishikari),204.9
61,Pippu,比布町,Hokkaidō,Kamikawa (Ishikari),86.9
62,Aibetsu,愛別町,Hokkaidō,Kamikawa (Ishikari),250.13
63,Kamikawa,上川町,Hokkaidō,Kamikawa (Ishikari),1049.47
64,Higashikawa,東川町,Hokkaidō,Kamikawa (Ishikari),247.3
65,Biei,美瑛町,Hokkaidō,Kamikawa (Ishikari),676.78
66,Kamifurano,上富良野町,Hokkaidō,Sorachi,237.1
67,Nakafurano,中富良野町,Hokkaidō,Sorachi,108.65
68,Minamifurano,南富良野町,Hokkaidō,Sorachi,665.54
69,Horokanai,幌加内町,Hokkaidō,Uryū,767.04
70,Wassamu,和寒町,Hokkaidō,Kamikawa (Teshio),225.11
71,Kenbuchi,剣淵町,Hokkaidō,Kamikawa (Teshio),130.99
72,Shimokawa,下川町,Hokkaidō,Kamikawa (Teshio),644.2
73,Bifuka,美深町,Hokkaidō,Nakagawa (Teshio),672.09
74,Nakagawa,中川町,Hokkaidō,Nakagawa (Teshio),594.74
75,Mashike,増毛町,Hokkaidō,Mashike,369.71
76,Obira,小平町,Hokkaidō,Rumoi,627.22
