,N e g a r a,B a d a n   n a s i o n a l,A n g g o t a   p e n u h   s e j a k [ 4 1 ]
0,Afganistan,Afghanistan Cricket Board,22 Juni 2017
1,Australia,Cricket Australia,15 Juli 1909
2,Bangladesh,Bangladesh Cricket Board,26 Juni 2000
3,Inggris,England and Wales Cricket Board,15 Juli 1909
4,India,Board of Control for Cricket in India,31 Mei 1926
5,Irlandia,Cricket Ireland,22 Juni 2017
6,Selandia Baru,New Zealand Cricket,31 Mei 1926
7,Pakistan,Pakistan Cricket Board,28 Juli 1953
8,Afrika Selatan,Cricket South Africa,15 Juli 1909
9,Sri Lanka,Sri Lanka Cricket,21 Juli 1981
10,Hindia Barat} }},Cricket West Indies,31 Mei 1926
11,Zimbabwe,Zimbabwe Cricket,6 Juli 1992
