,C o u n t y,I b u k o t a,A r e a   ( k m 2 ),P o p u l a s i
0,Bjelovar-Bilogora,Bjelovar,2652,102295
1,Brod-Posavina,Slavonski Brod,2043,130782
2,Dubrovnik-Neretva,Dubrovnik,1783,115862
3,Istria,Pazin,2820,195794
4,Karlovac,Karlovac,3622,112596
5,Koprivnica-Križevci,Koprivnica,1746,101661
6,Krapina-Zagorje,Krapina,1224,120942
7,Lika-Senj,Gospić,5350,42893
8,Međimurje,Čakovec,730,105863
9,Osijek-Baranja,Osijek,4152,259481
10,Požega-Slavonia,Požega,1845,64420
11,Primorje-Gorski Kotar,Rijeka,3582,266503
12,Šibenik-Knin,Šibenik,2939,96624
13,Sisak-Moslavina,Sisak,4463,140549
14,Split-Dalmatia,Split,4534,425412
15,Varaždin,Varaždin,1261,160264
16,Virovitica-Podravina,Virovitica,2068,70660
17,Vukovar-Syrmia,Vukovar,2448,144438
18,Zadar,Zadar,3642,160340
19,County Zagreb,Zagreb,3078,301206
20,Zagreb,Zagreb,641,769944
