,K r o m o s o m,G e n [ 3 5 ],J u m l a h   p a s a n g a n   b a s a,%   b a s a,U r u t a n   p a s a n g a n   b a s a [ 3 6 ],%   u r u t a n   p a s a n g a n   b a s a
0,1,2000,247199719,8.0,224999719,91.02%
1,2,1300,242751149,7.9,237712649,97.92%
2,3,1000,199446827,6.5,194704827,97.62%
3,4,1000,191263063,6.2,187297063,97.93%
4,5,900,180837866,5.9,177702766,98.27%
5,6,1000,170896993,5.5,167273993,97.88%
6,7,900,158821424,5.2,154952424,97.56%
7,8,700,146274826,4.7,142612826,97.50%
8,9,800,140442298,4.6,120312298,85.67%
9,10,700,135374737,4.4,131624737,97.23%
10,11,1300,134452384,4.4,131130853,97.53%
11,12,1100,132289534,4.3,130303534,98.50%
12,13,300,114127980,3.7,95559980,83.73%
13,14,800,106360585,3.5,88290585,83.01%
14,15,600,100338915,3.3,81341915,81.07%
15,16,800,88822254,2.9,78884754,88.81%
16,17,1200,78654742,2.6,77800220,98.91%
17,18,200,76117153,2.5,74656155,98.08%
18,19,1500,63806651,2.1,55785651,87.43%
19,20,500,62435965,2.0,59505254,95.31%
20,21,200,46944323,1.5,34171998,72.79%
21,22,500,49528953,1.6,34893953,70.45%
22,X (kromosom seks),800,154913754,5.0,151058754,97.51%
23,Y (kromosom seks),200[37],57741652,1.9,25121652,43.51%
24,Total,21000,3079843747,100.0,2857698560,92.79%
