,K e l a s,A n g g o t a,P e s a n a n,F o t o
0,Ostracoda,Benih udang,MyodocopidaHalocypridaPlatycopidaPodocopida,Silinndroleberididae (Myodocopida)
1,Mystacocarida,Mystococarida,Mystococarida,Derocheilocaris remanei
2,Ichthyostraca,Cacing lidah dan kutu ikan,CephalobaenidaPorosefalidaRaillietiellidaReighardiidaArguloida,Armilife armillatus (Porocephalida)
3,Thecostraca,FacetotectaAscothoracidaTeritip,FacetotectaDendrogastridaLauridaCryptophialidaLitogliptidadll.,Perforatus Perforatus (Cirripedia)
4,Copepoda,Copepoda,CalanoidaPolyarthraCyclopoidaGelyelloidaHarpacticoidamisofrioidadll.,Silinndroleberididae (Calanoida)
5,Tantulocarida,Tantulocarida,,Microdajus sp.
6,Malacostraca,Udang sentaduDekapodaKrilIsopodaUdang berkerudungAmphipodadll.,StomatopodaDekapodaEuphausiaceaIsopodaCumaceaAmphipodadll.,Ocypode ceratophthalma (Decapoda)
7,Cephalocarida,Udang tapal kuda,Brachypoda,Hutchinsoniella macracantha
8,Branchiopoda,Udang periKutu airUdang kecebongUdang kerang,AnostracNotostrakaLaevicaudataSpinicaudatadll.,Lepidurus arcticus (Notostraca)
9,Remipedia,Remipedes,Nectiopoda† Enantiopoda,Speleonectes tanumekes
