,J a b a t a n,N a m a,T a n g g a l,N e g a r a
0,Sultan,Qaboos dari Oman*,23 Juli 1970,Oman
1,Presiden,Teodoro Obiang Nguema Mbasogo,3 Agustus 1979,Guinea Khatulistiwa
2,Presiden,Yoweri Museveni,29 Januari 1986,Uganda
3,,,,
4,Presiden,Blaise Compaoré,15 Oktober 1987,Burkina Faso
5,Presiden,Omar Hasan Ahmad al-Bashir,30 Juni 1989,Sudan
6,Presiden,Idriss Déby,2 Desember 1990,Chad
7,Presiden,Yahya Jammeh†,22 Juli 1994,Gambia
8,Emir,Hamad bin Khalifa Al Thani*,27 Juni 1995,Qatar
9,Presiden,Denis Sassou-Nguesso,25 Oktober 1997,Republik Kongo
10,Perdana Menteri,Frank Bainimarama,5 Desember 2006,Fiji
11,Presiden,Mohamed Ould Abdel Aziz‡,6 Agustus 2008,Mauritania
12,Presiden High Transitional Authority,Andry Rajoelina,17 Maret 2009,Madagaskar
13,Presiden sementara,Dioncounda Traoré§,11 April 2012,Mali
14,Presiden,Manuel Serifo Nhamadjo‖,11 Mei 2012,Guinea-Bissau
15,Presiden,Michel Djotodia,24 Maret 2013,Republik Afrika Tengah
16,presiden,mohamed morsi,3 Juli 2013,mesir
