,N o,N e g a r a
0,1,Swiss
1,2,Finlandia
2,3,Swedia
3,4,Denmark
4,5,Singapura
5,6,Amerika Serikat
6,7,Jepang
7,8,Jerman
8,9,Belanda
9,10,Inggris
10,11,Hong Kong SAR
11,12,Norwegia
12,13,Republik Tiongkok (Taiwan)
13,14,Islandia
14,15,Israel
15,16,Kanada
16,17,Austria
17,18,Prancis
18,19,Australia
19,20,Belgia
20,21,Irlandia
21,22,Luxembourg
22,23,Selandia Baru
23,24,Republik Korea
24,25,Estonia
25,26,Malaysia
26,27,Chili
27,28,Spanyol
28,29,Republik Ceko
29,30,Tunisia
30,31,Barbados
31,32,United Arab Emirates
32,33,Slovenia
33,34,Portugal
34,35,Thailand
35,36,Latvia
36,37,Republik Slowakia
37,38,Qatar
38,39,Malta
39,40,Lithuania
40,41,Hungaria
41,42,Itali
42,43,India
43,44,Kuwait
44,45,Afrika Selatan
45,46,Cyprus
46,47,Yunani
47,48,Polandia
48,49,Bahrain
49,50,Indonesia
50,51,Kroasia
51,52,Yordania
52,53,Costa Rica
53,54,Tiongkok
54,55,Mauritius
55,56,Kazakhstan
56,57,Panama
57,58,Mexico
58,59,Turki
59,60,Jamaika
60,61,El Salvador
61,62,Federasi Rusia
62,63,Mesir
63,64,Azerbaijan
64,65,Kolombia
65,66,Brasil
66,67,Trinidad dan Tobago
67,68,Romania
68,69,Argentina
69,70,Maroko
70,71,Philipina
71,72,Bulgaria
72,73,Uruguay
73,74,Peru
74,75,Guatemala
75,76,Aljazair
76,77,Vietnam
77,78,Ukraina
78,79,Sri Lanka
79,80,Macedonia
80,81,Botswana
81,82,Armenia
82,83,Republik Dominika
83,84,Namibia
84,85,Georgia
85,86,Moldova
86,87,Serbia dan Montenegro
87,88,Venezuela
88,89,Bosnia dan Herzegovina
89,90,Ekuador
90,91,Pakistan
91,92,Mongolia
92,93,Honduras
93,94,Kenya
94,96,Tajikistan
95,97,Bolivia
96,98,Albania
97,99,Bangladesh
98,100,Suriname
99,101,Nigeria
100,102,Gambia
101,103,Kamboja
102,104,Tanzania
103,105,Benin
104,106,Paraguay
105,107,Republik Kirgistan
106,108,Kamerun
107,109,Madagaskar
108,110,Nepal
109,111,Guyana
110,112,Lesotho
111,113,Uganda
112,114,Mauritania
113,115,Zambia
114,116,Burkina Faso
115,117,Malawi
116,118,Mali
117,119,Zimbabwe
118,120,Ethiopia
119,121,Mozambik
120,122,Timor Leste
121,123,Chad
122,124,Burundi
123,125,Angola
