,P e r i o d e,P r o d u s e n,S p o n s o r   U t a m a   ( d a d a ),S p o n s o r   P a k a i a n   ( l e n g a n )
0,1973–1979,Umbro,Tidak ada,
1,1979–1982,Umbro,Hitachi,
2,1982–1985,Umbro,Crown Paints,
3,1985–1988,Adidas,Crown Paints,
4,1988–1992,Adidas,Candy,
5,1992–1996,Adidas,Carlsberg,
6,1996–2006,Reebok,Carlsberg,
7,2006–2010,Adidas,Carlsberg,
8,2010–2012,Adidas,Standard Chartered,
9,2012–2015,Warrior Sports,Standard Chartered,
10,2015–2017,New Balance,Standard Chartered,
11,2017–2020,New Balance,Standard Chartered,Western Union
12,2020–,Nike,Standard Chartered,Expedia
