,D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h ),D a t a   i k l i m   L o n d o n   ( G r e e n w i c h )
0,Rekor tertinggi °C (°F),14.0 (57.2),19.7 (67.5),21.0 (69.8),26.9 (80.4),31.0 (87.8),35.0 (95),35.5 (95.9),37.9 (100.2),30.0 (86),28.8 (83.8),19.0 (66.2),15.0 (59),37.9 (100.2)
1,Rata-rata tertinggi °C (°F),8.1 (46.6),8.4 (47.1),11.4 (52.5),14.2 (57.6),17.9 (64.2),21.1 (70),23.5 (74.3),23.2 (73.8),19.9 (67.8),15.6 (60.1),11.2 (52.2),8.3 (46.9),15.2 (59.4)
2,Rata-rata terendah °C (°F),2.3 (36.1),2.1 (35.8),3.9 (39),5.5 (41.9),8.7 (47.7),11.7 (53.1),13.9 (57),13.7 (56.7),11.4 (52.5),8.4 (47.1),4.9 (40.8),2.7 (36.9),7.4 (45.3)
3,Rekor terendah °C (°F),−10.0 (14),−9.0 (15.8),−8.0 (17.6),−2.0 (28.4),−1.0 (30.2),5.0 (41),7.0 (44.6),6.0 (42.8),3.0 (37.4),−4.0 (24.8),−5.0 (23),−7.0 (19.4),−10.0 (14)
4,Presipitasi mm (inci),55.2 (2.173),40.8 (1.606),41.6 (1.638),43.6 (1.717),49.3 (1.941),44.9 (1.768),44.5 (1.752),49.5 (1.949),49.1 (1.933),68.5 (2.697),59.0 (2.323),55.0 (2.165),601.5 (23.681)
5,Curah salju cm (inci),24.4 (9.61),10.8 (4.25),2.7 (1.06),0.4 (0.16),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0.2 (0.08),8.2 (3.23),46.7 (18.39)
6,Rata-rata hari hujan (≥ 1 mm),10.9,8.1,9.8,9.3,8.5,8.4,7.0,7.2,8.7,9.3,9.3,10.1,106.6
7,Rata-rata hari bersalju,4,4,3,1,0,0,0,0,0,0,1,3,16
8,% kelembapan,91,89,91,90,92,92,93,95,96,95,93,91,92.3
9,Rata-rata sinar matahari bulanan,45.9,66.1,103.2,147.0,185.4,180.6,190.3,194.4,139.2,109.7,60.6,37.8,"1.460,2"
10,"Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]","Sumber #1: Catatan tertinggi dan terendah dari BBC Weather,[111] kecuali untuk bulan Agustus dan Februari maksimum dari Met Office[112] [113]"
11,"Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]","Sumber #2: Semua data lainnya berasal dari Met Office,[114] kecuali untuk kelembaban dan salju berasal dari NOAA[115]"
