,K e g i a t a n   d a n   M a r k a s,K e g i a t a n   d a n   M a r k a s . 1,K e g i a t a n   d a n   M a r k a s . 2
0,Didahului oleh:MSG III,KandangNew York Rangers1968 – sekarang (MSG IV),Diteruskan oleh:sekarang
1,Didahului oleh:MSG III,KandangNew York Knicks1968 – sekarang (MSG IV),Diteruskan oleh:sekarang
2,Didahului oleh:arena pertama,KandangNew York Liberty1997 – sekarang (MSG IV),Diteruskan oleh:current
3,Didahului oleh:arena pertama,KandangNew York Titans2007–2009 (MSG IV),Diteruskan oleh:Amway Arena
4,Didahului oleh:arena pertama,KandangNew York Knights1988,Diteruskan oleh:last arena
5,Didahului oleh:arena pertama,KandangNew York CityHawks1997–1998,Diteruskan oleh:Hartford Civic Center
6,Didahului oleh:Gund Arena,Tuan rumahNBA All-Star Game1998,Diteruskan oleh:The Arena in Oakland
7,Didahului oleh:Metropolitan Sports CenterMontreal Forum,Tuan rumahNHL All-Star Game19731994,Diteruskan oleh:Chicago StadiumFleet Center
8,Didahului oleh:The Summit[[{{{1}}}|{{{1}}}]] Houston,Masters CupVenue1977-1989,Diteruskan oleh:Festhalle Frankfurt Frankfurt
9,Didahului oleh:The ForumOakland Coliseum Arena,WTA Tour Championships Venue19771979–2000,Diteruskan oleh:Oakland Coliseum ArenaOlympiahalle
10,Didahului oleh:first venue,Tuan rumahWrestleMania (I)1985,Diteruskan oleh:Nassau ColiseumRosemont HorizonL.A. Sports Arena
11,Didahului oleh:Caesars Palace,Tuan rumahWrestleMania X1994,Diteruskan oleh:Hartford Civic Center
12,Didahului oleh:Safeco Field,Tuan rumahWrestleMania XX2004,Diteruskan oleh: Staples Center
13,Didahului oleh:Arrowhead PondAT&T Center,Tuan rumahRoyal Rumble20002008,Diteruskan oleh:New Orleans ArenaJoe Louis Arena
14,Didahului oleh:Miami Beach Convention Center The Omni,"Tuan rumahKonvensi Nasional Demokrat1976, 1980 1992",Diteruskan oleh:Moscone Center United Center
15,Didahului oleh:First Union Center,Tuan rumahKonvensi Nasional Republik2004,Diteruskan oleh:Xcel Energy Center
16,Didahului oleh:Hollywood PalladiumShrine AuditoriumStaples Center,Tuan rumahGrammy Awards197219972003,Diteruskan oleh:Tennessee TheatreRadio City Music HallStaples Center
17,Didahului oleh:Shrine Auditorium,Tuan rumahLatin Grammy Awards2006,Diteruskan oleh:Mandalay Bay Events Center
