,A n g g o t a,K o n v e n s i   1 8 9 9,K o n v e n s i   1 9 0 7
0,Albania,,28-10-2011
1,Argentina,15-06-1907,
2,Australia,01-04-1960,21-02-1997
3,Austria,04-09-1900,26-01-1910
4,Bahrain,,30-06-2008
5,Bangladesh,,26-02-2012
6,Belarus,04-06-1962,04-04-1962
7,Belgia,04-09-1900,07-10-1910
8,Belize,,21-01-2003
9,Benin,,16-09-2005
10,Bolivia,15-06-1907,26-10-1910
11,Brasil,15-06-1907,06-03-1914
12,Bulgaria,04-09-1900,10-06-2000
13,Burkina Faso,30-08-1961,30-08-1961
14,Kamboja,04-01-1956,04-01-1956
15,Kamerun,01-08-1961,01-08-1961
16,Kanada,19-08-1960,09-07-1994
17,Chili,15-06-1907,18-01-1998
18,Tiongkok,21-11-1904,26-01-1910
19,Kolombia,15-06-1907,17-03-1997
20,Republik Demokratik Kongo,25-03-1961,25-03-1961
21,Kosta Rika,,20-07-1999
22,Kroasia,08-10-1991,
23,Kuba,15-06-1907,22-04-1912
24,Siprus,,12-11-1993
25,Ceko,,01-01-1993
26,Denmark,04-09-1900,26-01-1910
27,Republik Dominika,15-06-1907,07-09-1958
28,Ekuador,03-07-1907,
29,Mesir,,04-11-1968
30,El Salvador,20-06-1907,26-01-1910
31,Eritrea,,04-10-1997
32,Estonia,,01-09-2003
33,Etiopia,30-07-2003,
34,Fiji,02-04-1973,
35,Finlandia,,09-06-1922
36,Prancis,04-09-1900,06-12-1910
37,Jerman,04-09-1900,26-01-1910
38,Georgia,,21-01-2015
39,Yunani,04-04-1901,
40,Guatemala,15-06-1907,14-05-1911
41,Guyana,,25-01-1998
42,Haiti,15-06-1907,03-04-1910
43,Honduras,01-12-1961,30-01-1962
44,Hongaria,04-09-1900,26-01-1910
45,Islandia,08-12-1955,08-12-1955
46,India,29-07-1950,
47,Iran,04-09-1900,
48,Irak,31-08-1970,30-10-1970
49,Irlandia,,06-07-2002
50,Israel,,17-06-1962
51,Italia,04-09-1900,
52,Jepang,06-10-1900,11-02-1912
53,Yordania,,27-01-1992
54,Kenya,,11-06-2006
55,Korea Selatan,,21-02-2000
56,Kuwait,,14-09-2003
57,Kirgizstan,04-06-1992,04-06-1992
58,Laos,18-07-1955,18-07-1955
59,Latvia,,12-08-2001
60,Lebanon,14-02-1968,14-04-1968
61,Libya,,02-09-1996
62,Liechtenstein,,23-09-1994
63,Lituania,,09-01-2005
64,Luksemburg,12-07-1901,04-11-1912
65,Makedonia,17-11-1991,17-02-2001
66,Madagaskar,,07-10-2009
67,Malaysia,,06-05-2002
68,Malta,,07-09-1968
69,Mauritius,03-08-1970,
70,Meksiko,17-04-1901,26-01-1910
71,Montenegro,03-06-2006,
72,Maroko,,04-06-2001
73,Belanda,04-09-1900,26-01-1910
74,Selandia Baru,10-02-1959,13-04-2010
75,Nikaragua,15-06-1907,14-02-1910
76,Nigeria,,16-02-1987
77,Norwegia,04-09-1900,18-11-1910
78,Pakistan,05-08-1950,
79,Panama,15-06-1907,10-11-1911
80,Paraguay,15-06-1907,24-06-1933
81,Peru,15-06-1907,
82,Polandia,,26-05-1922
83,Filipina,,14-07-2010
84,Portugal,04-09-1900,12-06-1911
85,Qatar,,02-12-2005
86,Rumania,04-09-1900,30-04-1912
87,Rusia,07-03-1955,07-03-1955
88,Rwanda,,19-04-2011
89,Sao Tome dan Principe,,20-10-2014
90,Arab Saudi,,20-01-2002
91,Senegal,01-08-1977,30-09-1977
92,Serbia,05-06-2006,05-06-2006
93,Singapura,,11-09-1993
94,Slowakia,,01-01-1993
95,Slovenia,01-10-1996,29-03-2004
96,Afrika Selatan,,21-12-1998
97,Spanyol,04-09-1900,17-05-1913
98,Sri Lanka,09-02-1955,
99,Sudan,,02-12-1966
100,Suriname,,27-12-1992
101,Eswatini,,25-12-1970
102,Swedia,04-09-1900,26-01-1910
103,Swiss,29-12-1900,11-07-1910
104,Thailand,04-09-1900,11-05-1910
105,Togo,,17-12-2004
106,Turki,12-06-1907,
107,Uganda,,30-04-1966
108,Ukraina,04-04-1962,04-04-1962
109,Uni Emirat Arab,,06-11-2008
110,Amerika Serikat,04-09-1900,26-01-1910
111,Britania Raya,04-09-1900,12-10-1970
112,Uruguay,17-06-1907,
113,Venezuela,15-06-1907,
114,Vietnam,29-12-2011,27-02-2012
115,Zambia,,31-12-1999
116,Zimbabwe,19-09-1984,
