,H a k i m,N e g a r a,S e j a k,H i n g g a,R a n a h,K e t e r a n g a n
0,Reine Alapini-Gansou,Benin,2018,2027,Praperadilan,
1,Tomoko Akane,Jepang,2018,2027,Praperadilan,
2,Solomy Balungi Bossa,Uganda,2018,2027,Banding,
3,Chung Chang-ho,Korea Selatan,2015,2024,Peradilan,
4,Luz del Carmen Ibáñez Carranza,Peru,2018,2027,Banding,Wakil Presiden I
5,Piotr Hofmański,Polandia,2015,2024,Banding,Presiden
6,Péter Kovács,Hongaria,2015,2024,Praperadilan,
7,Antoine Kesia-Mbe Mindua,Republik Demokratik Kongo,2015,2024,Praperadilan,Wakil Presiden II
8,Marc Perrin de Brichambaut,Prancis,2015,2024,Banding,
9,Kimberly Prost,Kanada,2018,2027,Peradilan,
10,Rosario Salvatore Aitala,Italia,2018,2027,Praperadilan,
11,Bertram Schmitt,Jerman,2015,2024,Peradilan,
12,Joanna Korner,Britania Raya,2021,2030,Peradilan,
13,Gocha Lordkipanidze,Georgia,2021,2030,Banding,
14,María del Socorro Flores Liera,Meksiko,2021,2030,Praperadilan,
15,Sergio Gerardo Ugalde Godinez,Kosta Rika,2021,2030,Praperadilan,
16,Miatta Maria Samba,Sierra Leone,2021,2030,Peradilan,
17,Althea Violet Alexis-Windsor,Trinidad dan Tobago,2021,2030,Peradilan,
