,"D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5","D a t a   i k l i m   M a n c h e s t e r   ( R i n g w a y )   6 9 m   d p l ,   1 9 7 1 - 2 0 0 0 ,   e k s t r e m   1 9 6 0 - 2 0 0 5"
0,Rekor tertinggi °C (°F),14.3 (57.7),15.2 (59.4),21.7 (71.1),23.4 (74.1),26.7 (80.1),31.3 (88.3),32.2 (90),33.7 (92.7),28.4 (83.1),26.3 (79.3),17.2 (63),15.1 (59.2),33.7 (92.7)
1,Rata-rata tertinggi °C (°F),6.9 (44.4),7.3 (45.1),9.5 (49.1),11.9 (53.4),15.7 (60.3),18.0 (64.4),20.3 (68.5),20.1 (68.2),17.1 (62.8),13.5 (56.3),9.6 (49.3),7.6 (45.7),13.12 (55.63)
2,Rata-rata terendah °C (°F),1.5 (34.7),1.6 (34.9),3.1 (37.6),4.5 (40.1),7.4 (45.3),10.1 (50.2),12.3 (54.1),12.1 (53.8),10.0 (50),7.2 (45),3.9 (39),2.3 (36.1),6.33 (43.4)
3,Rekor terendah °C (°F),−12.0 (10.4),−13.1 (8.4),−9.7 (14.5),−4.9 (23.2),−1.6 (29.1),2.0 (35.6),6.0 (42.8),3.6 (38.5),0.8 (33.4),−3.0 (26.6),−6.8 (19.8),−13.5 (7.7),−13.5 (7.7)
4,Curah hujan mm (inci),71.5 (2.815),51.8 (2.039),64.0 (2.52),49.1 (1.933),53.8 (2.118),66.8 (2.63),59.5 (2.343),70.9 (2.791),69.9 (2.752),86.0 (3.386),81.9 (3.224),81.4 (3.205),806.6 (31.756)
5,Rata-rata hari hujan (≥ 1mm),13.6,10.1,12.1,10.5,10.1,11.5,10.0,11.0,11.3,13.2,13.6,13.4,140.4
6,Rata-rata hari bersalju,9,7,5,2,0,0,0,0,0,0,2,5,30
7,% kelembapan,87,86,86,85,82,84,86,88,89,89,87,87,86.3
8,Rata-rata sinar matahari bulanan,49.6,67.0,95.2,138.9,188.8,172.5,183.8,170.5,127.2,97.7,60.6,42.8,"1.394,6"
9,Sumber #1: [60],Sumber #1: [60],Sumber #1: [60],Sumber #1: [60],Sumber #1: [60],Sumber #1: [60],Sumber #1: [60],Sumber #1: [60],Sumber #1: [60],Sumber #1: [60],Sumber #1: [60],Sumber #1: [60],Sumber #1: [60],Sumber #1: [60]
10,Sumber #2: [61],Sumber #2: [61],Sumber #2: [61],Sumber #2: [61],Sumber #2: [61],Sumber #2: [61],Sumber #2: [61],Sumber #2: [61],Sumber #2: [61],Sumber #2: [61],Sumber #2: [61],Sumber #2: [61],Sumber #2: [61],Sumber #2: [61]
