,N e g a r a,P r o d u k s i   d a l a m   T o n,C a t a t a n
0,India,13.501.000,F
1,Tiongkok,3.752.000,F
2,Meksiko,2.050.000,F
3,Thailand,1.800.000,F
4,Pakistan,1.719.180,F
5,Indonesia,1.620.000,F
6,Brasil,1.546.000,F
7,Filipina,975.000,F
8,Nigeria,734.000,F
9,Vietnam,370.000,F
10,Dunia,33.445.279,A
11,"Tanpa simbol = data resmi P = data resmi, F = perkiraan FAO * = data tak resmi/setengah resmi C = data hasil perhitungan A = data gabungan (resmi, tak resmi, dan atau hasil perhitungan) Sumber Food And Agricultural Organization of United Nations: Economic And Social Department: The Statistical Division","Tanpa simbol = data resmi P = data resmi, F = perkiraan FAO * = data tak resmi/setengah resmi C = data hasil perhitungan A = data gabungan (resmi, tak resmi, dan atau hasil perhitungan) Sumber Food And Agricultural Organization of United Nations: Economic And Social Department: The Statistical Division","Tanpa simbol = data resmi P = data resmi, F = perkiraan FAO * = data tak resmi/setengah resmi C = data hasil perhitungan A = data gabungan (resmi, tak resmi, dan atau hasil perhitungan) Sumber Food And Agricultural Organization of United Nations: Economic And Social Department: The Statistical Division"
