,0,1,2,3,4
0,Yursidiksi,Yursidiksi,Populasi,Luas Daratan,Luas Daratan
1,Borough,County,perkiraan1 April 2010,milpersegi,kmpersegi
2,Manhattan,New York,1.585.873,23,59
3,the Bronx,Bronx,1.385.108,42,109
4,Brooklyn,Kings,2.504.700,71,183
5,Queens,Queens,2.230.722,109,283
6,Staten Island,Richmond,468.730,58,151
7,City of New York,City of New York,8.175.133,303,786
8,Negara Bagian New York,Negara Bagian New York,19.378.102,47.214,122.284
9,Sumber: Biro Sensus Amerika Serikat[1][2][3],Sumber: Biro Sensus Amerika Serikat[1][2][3],Sumber: Biro Sensus Amerika Serikat[1][2][3],Sumber: Biro Sensus Amerika Serikat[1][2][3],Sumber: Biro Sensus Amerika Serikat[1][2][3]
