,"D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a","D a t a   i k l i m   M a n i l a ,   F i l i p i n a"
0,Rekor tertinggi °C (°F),36.5 (97.7),35.6 (96.1),36.8 (98.2),38 (100),38.6 (101.5),37.6 (99.7),36.5 (97.7),35.6 (96.1),35.3 (95.5),35.8 (96.4),35.6 (96.1),34.6 (94.3),38.6 (101.5)
1,Rata-rata tertinggi °C (°F),29.6 (85.3),30.6 (87.1),32.1 (89.8),33.5 (92.3),33.2 (91.8),32.2 (90),31.2 (88.2),30.8 (87.4),31 (88),31.1 (88),30.9 (87.6),29.8 (85.6),31.33 (88.43)
2,Rata-rata harian °C (°F),26.7 (80.1),27.4 (81.3),28.7 (83.7),30.1 (86.2),30 (86),29.3 (84.7),28.5 (83.3),28.3 (82.9),28.4 (83.1),28.4 (83.1),28 (82),27 (81),28.4 (83.12)
3,Rata-rata terendah °C (°F),23.8 (74.8),24.2 (75.6),25.3 (77.5),26.6 (79.9),26.9 (80.4),26.4 (79.5),25.9 (78.6),25.8 (78.4),25.7 (78.3),25.7 (78.3),25.1 (77.2),24.2 (75.6),25.47 (77.84)
4,Rekor terendah °C (°F),14.5 (58.1),15.6 (60.1),16.2 (61.2),17.2 (63),20 (68),20.1 (68.2),19.4 (66.9),18 (64),20.2 (68.4),19.5 (67.1),16.8 (62.2),15.7 (60.3),14.5 (58.1)
5,Presipitasi mm (inci),17.3 (0.681),14.2 (0.559),15.8 (0.622),23.7 (0.933),147.2 (5.795),253.5 (9.98),420.5 (16.555),432.4 (17.024),355.1 (13.98),234.8 (9.244),121.7 (4.791),67.4 (2.654),"2.103,6 (82,818)"
6,Rata-rata hari hujan,4,3,3,4,10,17,21,21,20,17,12,7,139
7,% kelembapan,72,69,67,66,71,76,79,81,80,78,75,74,74
8,Rata-rata sinar matahari bulanan,177,198,226,258,223,162,133,133,132,158,153,152,2.105
9,Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6],Sumber #1: PAGASA[5][6]
10,Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7],Sumber #2: Danish Meteorological Institute[7]
