,T a h u n,P e n d a p a t a n   d a l a m   m i l .   U S D $,P e m a s u k a n   d a l a m   m i l .   U S D $,T o t a l   a s e t   d a l a m   m i l .   U S D $,H a r g a   p e r   s a h a m   d a l a m   U S D $,L o k a s i [ 2 6 ],k a r y a w a n
0,2005[27],19117,2602,29989,31.88,,
1,2006[27],20895,3544,28975,36.79,31046.0,
2,2007[27],22787,2395,29392,50.98,31.377,
3,2008[28],23522,4313,28462,58.06,31967.0,
4,2009[29],22745,4551,30225,57.44,32478.0,
5,2010[30],24075,4946,31975,70.91,32737.0,
6,2011[31],27006,5503,32990,83.97,33510.0,
7,2012[32],27567,5465,35387,92.53,34480.0,
8,2013[33],28106,5586,36626,97.26,35429.0,440000.0
9,2014[34],27441,4758,34227,96.38,36258.0,420000.0
10,2015[35],25413,4529,37939,100.28,36525.0,420000.0
11,2016[36],24622,4687,31024,120.14,36899.0,375000.0
12,2017[37],22820,5192,33804,148.76,37241.0,235000.0
13,2018[38],21025,5924,32811,166.06,37855.0,210000.0
14,2019[39],21077,6025,47511,,38695.0,205000.0
