,M e d i a,J a r i n g a n,K ī   k y o k u   ( K a n t ō ),J u n   k ī   k y o k u   ( K a n s a i ),K i k a n   k y o k u   ( T ō k a i ),R e f .
0,Televisi terestrial,Nippon News Network(NNN),Nippon Television (NTV),Yomiuri Telecasting Corporation (ytv),Chūkyō Television Broadcasting (CTV),[10]
1,Televisi terestrial,Japan News Network(JNN),Tokyo Broadcasting System (TBS),Mainichi Broadcasting System (MBS),Chubu-Nippon Broadcasting (CBC),[11]
2,Televisi terestrial,Fuji News Network(FNN),Fuji Television (CX),Kansai Telecasting Corporation (KTV),Tōkai Television Broadcasting (THK),[12]
3,Televisi terestrial,All-Nippon News Network(ANN),TV Asahi (EX),Asahi Broadcasting Corporation (ABC),Nagoya Broadcasting Network (Mētere・NBN),[11]
4,Televisi terestrial,TV Tokyo Network(TXN),TV Tokyo (TX),Television Osaka (TVO),Aichi Television Broadcasting (TVA),[13]
5,Radio AM,Japan Radio Network(JRN),TBS Radio & Communications (TBS R&C),Mainichi Broadcasting System (MBS) Asahi Broadcasting Corporation (ABC),Chubu-Nippon Broadcasting (CBC),[14]
6,Radio AM,National Radio Network(NRN),Nippon Cultural Broadcasting (QR) Nippon Broadcasting System (LF),"Mainichi Broadcasting System (MBS) Asahi Broadcasting Corporation (ABC) Osaka Broadcasting Corporation (Radio Osaka, OBC)",Tokai Radio Broadcasting (SF),[14]
7,Radio FM,JFN,Tokyo FM,fm osaka,FM Aichi,[15]
8,Radio FM,JFL,J-WAVE,FM802,ZIP-FM,[16]
9,Radio FM,MegaNet,InterFM,FM Cocolo,Radio-i,[17]
