,T a h u n,P e n g h a r g a a n,K a t e g o r i,P e n e r i m a,H a s i l,R e f .
0,2006,MTV Indonesia Movie Awards 2006,Most Favourite Actress,Titi Kamal,Menang,[1][2][3][4]
1,2006,MTV Indonesia Movie Awards 2006,Most Favourite Supporting Actress,Kinaryosih,Nominasi,[1][2][3][4]
2,2006,MTV Indonesia Movie Awards 2006,Best Crying Scene,Titi Kamal dan Kinaryosih,Nominasi,[1][2][3][4]
3,2006,Festival Film Indonesia 2006,Film Terbaik,Mendadak Dangdut,Nominasi,[5]
4,2006,Festival Film Indonesia 2006,Pemeran Utama Pria Terbaik,Dwi Sasono,Nominasi,[5]
5,2006,Festival Film Indonesia 2006,Pemeran Utama Wanita Terbaik,Titi Kamal,Nominasi,[5]
6,2006,Festival Film Indonesia 2006,Pemeran Pendukung Wanita Terbaik,Kinaryosih,Menang,[5]
7,2006,Festival Film Indonesia 2006,Penulis Skenario Asli Terbaik,Monty Tiwa,Nominasi,[5]
8,2006,Festival Film Indonesia 2006,Penata Suara Terbaik,Adityawan Susanto dan Trisno,Nominasi,[5]
9,2006,Festival Film Indonesia 2006,Tata Musik Terbaik,Andi Rianto,Nominasi,[5]
10,2007,Festival Film Bandung 2007,Sutradara Terpuji,Rudi Soedjarwo,Nominasi,
11,2007,Festival Film Bandung 2007,Aktris Pendukung Terpuji,Kinaryosih,Menang,
12,2007,Festival Film Bandung 2007,Penata Musik Terpuji,Andi Rianto,Menang,
13,2007,Indonesian Movie Awards 2007,Aktris Pendukung Terbaik,Kinaryosih,Menang,[6]
14,2007,Indonesian Movie Awards 2007,Aktor Pendatang Baru Terbaik,Dwi Sasono,Nominasi,[6]
15,2007,Indonesian Movie Awards 2007,Pasangan Terbaik,Titi Kamal dan Kinaryosih,Menang,[6]
16,2007,Indonesian Movie Awards 2007,Aktris / Aktor Bernyanyi Terbaik,Titi Kamal,Menang,[6]
17,2007,Indonesian Movie Awards 2007,Aktor Pendukung Terfavorit,Dwi Sasono,Menang,[6]
18,2007,Indonesian Movie Awards 2007,Aktris Pendukung Terfavorit,Kinaryosih,Menang,[6]
19,2007,Indonesian Movie Awards 2007,Pasangan Terfavorit,Titi Kamal dan Kinaryosih,Menang,[6]
20,2007,Indonesian Movie Awards 2007,Pendatang Baru Terfavorit,Dwi Sasono,Nominasi,[6]
21,2007,Indonesian Movie Awards 2007,Soundtrack Terfavorit,"""Jarang Dibelai"" — Titi Kamal",Nominasi,[6]
22,2007,Indonesian Movie Awards 2007,Film Terfavorit,Mendadak Dangdut,Nominasi,[6]
