,T a h u n,P e n g h a r g a a n,K a t e g o r i,P e n e r i m a,H a s i l
0,2007,Festival Film Indonesia 2007,Film Terbaik,Lala Hamid (Produser),Nominasi
1,2007,Festival Film Indonesia 2007,Sutradara Terbaik,Rudi Soedjarwo,Nominasi
2,2007,Festival Film Indonesia 2007,Aktor Utama Terbaik,Dwi Sasono,Nominasi
3,2007,Festival Film Indonesia 2007,Aktris Utama Terbaik,Dinna Olivia,Menang
4,2007,Festival Film Indonesia 2007,Aktris Utama Terbaik,Poppy Sovia,Nominasi
5,2007,Festival Film Indonesia 2007,Skenario Terbaik,Monty Tiwa,Nominasi
6,2007,Festival Film Jakarta 2007,Aktris Terbaik,Dinna Olivia,Menang
7,2007,MTV Indonesia Movie Awards 2007,Most Favourite Actor,Dwi Sasono,Nominasi
8,2007,MTV Indonesia Movie Awards 2007,Most Favourite Actress,Dinna Olivia,Menang
9,2007,MTV Indonesia Movie Awards 2007,Most Favourite Actress,Poppy Sovia,Nominasi
10,2008,Indonesian Movie Awards 2008,Aktris Terbaik,Dinna Olivia,Menang
11,2008,Indonesian Movie Awards 2008,Aktris Terbaik,Poppy Sovia,Nominasi
12,2008,Indonesian Movie Awards 2008,Aktor Terbaik,Dwi Sasono,Nominasi
