,T a h u n,P e n g h a r g a a n,K a t e g o r i,P e n e r i m a,H a s i l,R e f .
0,2004,MTV Indonesia Movie Awards 2004,Most Favourite Movie,Mengejar Matahari,Nominasi,[1]
1,2004,MTV Indonesia Movie Awards 2004,Most Favourite Actor,Fauzi Baadilla,Nominasi,[1]
2,2004,MTV Indonesia Movie Awards 2004,Most Favourite Supporting Actor,Ade Habibie,Nominasi,[1]
3,2004,MTV Indonesia Movie Awards 2004,Most Favourite Supporting Actor,Arief Rivan,Nominasi,[1]
4,2004,MTV Indonesia Movie Awards 2004,Best Movie,Mengejar Matahari,Nominasi,[1]
5,2004,MTV Indonesia Movie Awards 2004,Best Director,Rudi Soedjarwo,Nominasi,[1]
6,2004,MTV Indonesia Movie Awards 2004,Best Crying Scene,Winky Wiryawan,Menang,[1]
7,2004,MTV Indonesia Movie Awards 2004,Best Song in the Movie,"""Mengejar Matahari"" — Ari Lasso",Menang,[1]
8,2004,Festival Film Indonesia 2004,Sutradara Terbaik,Rudi Soedjarwo,Nominasi,[2][3][4][5]
9,2004,Festival Film Indonesia 2004,Pemeran Utama Pria Terbaik,Winky Wiryawan,Nominasi,[2][3][4][5]
10,2004,Festival Film Indonesia 2004,Skenario Terbaik,Titien Wattimena,Nominasi,[2][3][4][5]
11,2004,Festival Film Indonesia 2004,Penyunting Gambar Terbaik,Sastha Sunu,Nominasi,[2][3][4][5]
12,2004,Festival Film Indonesia 2004,Pengarah Sinematografi Terbaik,Ipung Rachmat Syaiful,Menang,[2][3][4][5]
13,2004,Festival Film Indonesia 2004,Penata Suara Terbaik,Adityawan Susanto dan Sumantri,Nominasi,[2][3][4][5]
14,2004,Festival Film Indonesia 2004,Penata Musik Terbaik,Andi Rianto,Nominasi,[2][3][4][5]
15,2005,Festival Film Bandung 2005,Film Terpuji,Mengejar Matahari,Menang,[6][7]
16,2005,Festival Film Bandung 2005,Sutradara Terpuji,Rudi Soedjarwo,Menang,[6][7]
17,2005,Festival Film Bandung 2005,Pemeran Utama Pria Terpuji,Winky Wiryawan,Nominasi,[6][7]
18,2005,Festival Film Bandung 2005,Pemeran Utama Pendukung Terpuji,Fauzi Baadilla,Menang,[6][7]
