,#,F o t o,N a m a,A s a l   N e g a r a   B a g i a n,P e r i o d e   J a b a t a n,P e r i o d e   J a b a t a n,D i   b a w a h   k e p e m i m p i n a n   P r e s i d e n
0,1,,Thomas Jefferson,Virginia,26 September 1789,31 Desember 1793,George Washington
1,2,,Edmund Randolph,Virginia,2 Januari 1794,20 Agustus 1795,George Washington
2,3,,Timothy Pickering,Massachusetts,10 Desember 1795,12 Mei 1800,"George Washington, John Adams"
3,4,,John Marshall,Virginia,13 Juni 1800,4 Februari 1801,John Adams
4,5,,James Madison,Virginia,2 Mei 1801,3 Maret 1809,Thomas Jefferson
5,6,,Robert Smith,Maryland,6 Maret 1809,1 April 1811,James Madison
6,7,,James Monroe,Virginia,2 April 1811,30 September 1814,James Madison
7,7,,James Monroe,Virginia,28 Februari 1815,3 Maret 1817,James Madison
8,8,,John Quincy Adams,Massachusetts,5 Maret 1817,3 Maret 1825,James Monroe
9,9,,Henry Clay,Kentucky,7 Maret 1825,3 Maret 1829,John Quincy Adams
10,10,,Martin Van Buren,New York,28 Maret 1829,23 Mei 1831,Andrew Jackson
11,11,,Edward Livingston,Louisiana,24 Mei 1831,29 Mei 1833,Andrew Jackson
12,12,,Louis McLane,Delaware,29 Mei 1833,30 Juni 1834,Andrew Jackson
13,13,,John Forsyth,Georgia,1 Juli 1834,3 Maret 1841,"Andrew Jackson, Martin Van Buren"
14,14,,Daniel Webster,Massachusetts,6 Maret 1841,8 Mei 1843,"William Harrison, John Tyler"
15,15,,Abel P. Upshur,Virginia,24 Juli 1843,28 Februari 1844,John Tyler
16,16,,John C. Calhoun,South Carolina,1 April 1844,10 Maret 1845,John Tyler
17,17,,James Buchanan,Pennsylvania,10 Maret 1845,7 Maret 1849,James Polk
18,18,,John M. Clayton,Delaware,8 Maret 1849,22 Juli 1850,"Zachary Taylor, Millard Fillmore"
19,19,,Daniel Webster,Massachusetts,23 Juli 1850,24 Oktober 1852,Millard Fillmore
20,20,,Edward Everett,Massachusetts,6 November 1852,3 Maret 1853,Millard Fillmore
21,21,,William L. Marcy,New York,7 Maret 1853,6 Maret 1857,Franklin Pierce
22,22,,Lewis Cass,Michigan,6 Maret 1857,14 Desember 1860,James Buchanan
23,23,,Jeremiah S. Black,Pennsylvania,17 Desember 1860,5 Maret 1861,James Buchanan
24,24,,William H. Seward,New York,5 Maret 1861,4 Maret 1869,"Abraham Lincoln, Andrew Johnson"
25,25,,Elihu B. Washburne,Illinois,5 Maret 1869,16 Maret 1869,Ulysses Grant
26,26,,Hamilton Fish,New York,17 Maret 1869,12 Maret 1877,Ulysses Grant
27,27,,William M. Evarts,New York,12 Maret 1877,7 Maret 1881,Rutherford Hayes
28,28,,James G. Blaine,Maine,7 Maret 1881,19 Desember 1881,"James Garfield, Chester A. Arthur"
29,29,,Frederick T. Frelinghuysen,New Jersey,19 Desember 1881,6 Maret 1885,Chester Arthur
30,30,,"Thomas F. Bayard, Sr.",Delaware,7 Maret 1885,6 Maret 1889,Grover Cleveland
31,31,,James G. Blaine,Maine,7 Maret 1889,4 Juni 1892,Benjamin Harrison
32,32,,John W. Foster,Indiana,29 Juni 1892,23 Februari 1893,Benjamin Harrison
33,33,,Walter Q. Gresham,Illinois,7 Maret 1893,28 Mei 1895,Grover Cleveland
34,34,,Richard Olney,Massachusetts,10 Juni 1895,5 Maret 1897,Grover Cleveland
35,35,,John Sherman,Ohio,6 Maret 1897,27 April 1898,William McKinley
36,36,,William R. Day,Ohio,28 April 1898,16 September 1898,William McKinley
37,37,,John Hay,Distrik Columbia,30 September 1898,1 Juli 1905,"William McKinley, Theodore Roosevelt"
38,38,,Elihu Root,New York,19 Juli 1905,27 Januari 1909,Theodore Roosevelt
39,39,,Robert Bacon,New York,27 Januari 1909,5 Maret 1909,Theodore Roosevelt
