,K o o r d i n a t,"N e g a r a ,   t e r i t o r i ,   a t a u   l a u t",C a t a t a n
0,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}90°0′N 100°0′W﻿ / ﻿90.000°N 100.000°W",Samudra Arktik,
1,80°6′N 100°0′W﻿ / ﻿80.100°N 100.000°W,Kanada,Nunavut - Pulau Meighen
2,79°52′N 100°0′W﻿ / ﻿79.867°N 100.000°W,Selat Peary,
3,78°44′N 100°0′W﻿ / ﻿78.733°N 100.000°W,Kanada,Nunavut - Pulau Ellef Ringnes
4,77°48′N 100°0′W﻿ / ﻿77.800°N 100.000°W,Perairan tanpa nama,
5,76°45′N 100°0′W﻿ / ﻿76.750°N 100.000°W,Kanada,Nunavut - Kepulauan Berkeley dan Pulau Bathurst
6,74°59′N 100°0′W﻿ / ﻿74.983°N 100.000°W,Selat Parry,
7,73°57′N 100°0′W﻿ / ﻿73.950°N 100.000°W,Kanada,Nunavut - Pulau Prince of Wales
8,71°52′N 100°0′W﻿ / ﻿71.867°N 100.000°W,Selat M'Clintock,
9,70°35′N 100°0′W﻿ / ﻿70.583°N 100.000°W,Teluk Larsen,"Melintas di sebelah timur Pulau Gateshead, Nunavut, Kanada"
10,69°58′N 100°0′W﻿ / ﻿69.967°N 100.000°W,Selat Victoria,
11,69°3′N 100°0′W﻿ / ﻿69.050°N 100.000°W,Kanada,Nunavut - Kepulauan Royal Geographical Society
12,68°57′N 100°0′W﻿ / ﻿68.950°N 100.000°W,Teluk Queen Maud,"Melintas di sebelah timur Pulau Hat, Nunavut, Kanada"
13,67°50′N 100°0′W﻿ / ﻿67.833°N 100.000°W,Kanada,Nunavut Manitoba
14,49°0′N 100°0′W﻿ / ﻿49.000°N 100.000°W,Amerika Serikat,North Dakota South Dakota - 45°56′N 100°0′W﻿ / ﻿45.933°N 100.000°W Nebraska - 43°0′N 100°0′W﻿ / ﻿43.000°N 100.000°W Kansas - 40°0′N 100°0′W﻿ / ﻿40.000°N 100.000°W Oklahoma - 37°0′N 100°0′W﻿ / ﻿37.000°N 100.000°W Texas / Oklahoma border - 36°30′N 100°0′W﻿ / ﻿36.500°N 100.000°W Texas - 34°34′N 100°0′W﻿ / ﻿34.567°N 100.000°W
15,28°0′N 100°0′W﻿ / ﻿28.000°N 100.000°W,Meksiko,Coahuila Nuevo León Tamaulipas San Luis Potosí Tamaulipas San Luis Potosí Guanajuato Querétaro Negara Bagian Mexico Guerrero
16,16°54′N 100°0′W﻿ / ﻿16.900°N 100.000°W,Samudra Pasifik,
17,60°0′S 100°0′W﻿ / ﻿60.000°S 100.000°W,Samudra Selatan,
18,71°55′S 100°0′W﻿ / ﻿71.917°S 100.000°W,Antarktika,Teritori tanpa klaim
