,N o .,N a m a,L u a s   ( k m ² ),P o p u l a s i   ( 2 0 0 6 - 1 1 - 1 1 ),P o p u l a s i   ( 2 0 1 2 - 0 1 - 0 1 ),I b u   k o t a
0,27,Aswan,,,,Aswan
1,22,Asyuth,,,,Asyuth
2,23,al-Bahr al-Ahmar,,,,Hurghada
3,19,Bani Suwaif,,,,Bani Suwaif
4,3,al-Buhairah,,,,Damanhur
5,7,Bur Sa'id,,,,Bursaid
6,5,ad-Daqahliyah,,,,Manshurah
7,6,Dumyath,,,,Dimyath
8,15,al-Fayyum,,,,Al Fayyum
9,9,al-Gharbiyah,,,,Thantha
10,2,al-Iskandariyah,,,,Iskandariyah
11,13,al-Isma'iliyah,,,,Isma'iliyah
12,18,Janub Sina',,,,El Tor
13,14,al-Jizah,,,,Giza
14,4,Kafr asy-Syaikh,,,,Kafr asy-Syaikh
15,1,Mathruh,,,,Marsa Mathruh
16,10,al-Minufiyah,,,,Syibin al-Kum
17,20,al-Minya,,,,Minya
18,16,al-Qahirah,,,,Kairo
19,11,al-Qalyubiah,,,,Banha
20,25,Qina,,,,Qina
21,8,Syamal Sina',,,,Al-'Arisy
22,12,asy-Syarqiyah,,,,Zaqaziq
23,24,Suhaj,,,,Suhaj
24,17,as-Suwais,,,,Suez
25,26,al-Uqsur,,,,Luxor
26,21,al-Wadi al-Jadid,,,,Kharjah
27,Jumlah,Jumlah,"996.602,6",72.798.031,81.396.247,
