,0,1,2,3,4,5,6
0,Subkelipatan,Subkelipatan,Subkelipatan,,Kelipatan,Kelipatan,Kelipatan
1,Nilai,Simbol SI,Nama,,Nilai,Simbol SI,Nama
2,10−1 m,dm,desimeter,,101 m,dam,dekameter
3,10−2 m,cm,sentimeter,,102 m,hm,hektometer
4,10−3 m,mm,milimeter,,103 m,km,kilometer
5,10−6 m,µm,mikrometer,,106 m,Mm,megameter
6,10−9 m,nm,nanometer,,109 m,Gm,gigameter
7,10−12 m,pm,pikometer,,1012 m,Tm,terameter
8,10−15 m,fm,femtometer,,1015 m,Pm,petameter
9,10−18 m,am,attometer,,1018 m,Em,eksameter
10,10−21 m,zm,zeptometer,,1021 m,Zm,zettameter
11,10−24 m,ym,yoktometer,,1024 m,Ym,yottameter
