,0,1,2
0,Kota,Jumlah (2010)[69],Persentase*
1,Seremban,282.971,"50,9%[70]"
2,Pekanbaru,343.121,"37,96%"
3,Batam,169.887,"14,93%"
4,Tanjung Pinang,26.249,"14,01%"
5,Medan,181.403,"8,6%"
6,Bandar Lampung,74.071,"8,4%"
7,Banda Aceh,13.606,"7,8%"
8,Palembang,103.025,"7,1%"
9,Bandung,101.729,"4,25%"
10,Jakarta Raya,889.039,"3,18%"
11,Singapura,15.052,"0,3%"
12,*Persentase dari keseluruhan penduduk kota[71][72],*Persentase dari keseluruhan penduduk kota[71][72],*Persentase dari keseluruhan penduduk kota[71][72]
